year,debates_per_year,keywords
1804,4,croft
1805,1,croft
1807,1,croft
1808,1,croft
1809,1,croft
1810,1,croft
1811,2,croft
1812,1,croft
1815,8,croft
1817,1,croft
1818,1,croft
1820,2,croft
1822,1,croft
1823,3,croft
1826,2,croft
1828,3,croft
1830,4,croft
1831,6,croft
1832,4,croft
1833,4,croft
1834,8,croft
1835,3,croft
1836,10,croft
1837,5,croft
1838,5,croft
1839,3,croft
1840,2,croft
1841,5,croft
1842,6,croft
1843,8,croft
1844,6,croft
1845,16,croft
1846,11,croft
1847,10,croft
1848,9,croft
1849,10,croft
1850,14,croft
1851,6,croft
1852,12,croft
1853,11,croft
1854,14,croft
1855,4,croft
1856,10,croft
1857,1,croft
1858,6,croft
1859,5,croft
1860,12,croft
1861,3,croft
1862,2,croft
1863,1,croft
1864,1,croft
1865,5,croft
1866,2,croft
1867,3,croft
1868,1,croft
1869,8,croft
1870,2,croft
1871,6,croft
1872,1,croft
1873,5,croft
1874,1,croft
1875,5,croft
1876,8,croft
1877,1,croft
1878,6,croft
1879,3,croft
1880,14,croft
1881,78,croft
1882,151,croft
1883,30,croft
1884,14,croft
1885,12,croft
1886,36,croft
1887,53,croft
1888,51,croft
1889,48,croft
1890,30,croft
1891,5,croft
1892,20,croft
1893,15,croft
1894,25,croft
1895,30,croft
1896,83,croft
1897,51,croft
1898,39,croft
1899,33,croft
1900,49,croft
1901,55,croft
1902,88,croft
1903,23,croft
1904,143,croft
1905,187,croft
1906,267,croft
1907,168,croft
1908,232,croft
1909,318,croft
1910,227,croft
1804,4,ejectment
1805,1,ejectment
1807,1,ejectment
1808,1,ejectment
1809,1,ejectment
1810,1,ejectment
1811,2,ejectment
1812,1,ejectment
1815,8,ejectment
1817,1,ejectment
1818,1,ejectment
1820,2,ejectment
1822,1,ejectment
1823,3,ejectment
1826,2,ejectment
1828,3,ejectment
1830,4,ejectment
1831,6,ejectment
1832,4,ejectment
1833,4,ejectment
1834,8,ejectment
1835,3,ejectment
1836,10,ejectment
1837,5,ejectment
1838,5,ejectment
1839,3,ejectment
1840,2,ejectment
1841,5,ejectment
1842,6,ejectment
1843,8,ejectment
1844,6,ejectment
1845,16,ejectment
1846,11,ejectment
1847,10,ejectment
1848,9,ejectment
1849,10,ejectment
1850,14,ejectment
1851,6,ejectment
1852,12,ejectment
1853,11,ejectment
1854,14,ejectment
1855,4,ejectment
1856,10,ejectment
1857,1,ejectment
1858,6,ejectment
1859,5,ejectment
1860,12,ejectment
1861,3,ejectment
1862,2,ejectment
1863,1,ejectment
1864,1,ejectment
1865,5,ejectment
1866,2,ejectment
1867,3,ejectment
1868,1,ejectment
1869,8,ejectment
1870,2,ejectment
1871,6,ejectment
1872,1,ejectment
1873,5,ejectment
1874,1,ejectment
1875,5,ejectment
1876,8,ejectment
1877,1,ejectment
1878,6,ejectment
1879,3,ejectment
1880,14,ejectment
1881,78,ejectment
1882,151,ejectment
1883,30,ejectment
1884,14,ejectment
1885,12,ejectment
1886,36,ejectment
1887,53,ejectment
1888,51,ejectment
1889,48,ejectment
1890,30,ejectment
1891,5,ejectment
1892,20,ejectment
1893,15,ejectment
1894,25,ejectment
1895,30,ejectment
1896,83,ejectment
1897,51,ejectment
1898,39,ejectment
1899,33,ejectment
