year,debates_per_year,keywords
1804,1,road
1807,3,road
1811,2,road
1815,1,road
1819,1,road
1820,1,road
1823,1,road
1824,2,road
1825,1,road
1826,2,road
1830,4,road
1831,1,road
1833,2,road
1834,3,road
1835,4,road
1836,11,road
1837,5,road
1838,1,road
1839,8,road
1840,3,road
1841,5,road
1842,5,road
1843,2,road
1844,1,road
1845,47,road
1846,27,road
1847,18,road
1848,11,road
1849,13,road
1850,24,road
1851,5,road
1852,9,road
1853,7,road
1854,13,road
1855,13,road
1856,6,road
1857,4,road
1858,7,road
1860,6,road
1861,11,road
1862,9,road
1863,12,road
1864,6,road
1865,9,road
1866,7,road
1867,17,road
1868,5,road
1869,6,road
1870,4,road
1871,8,road
1872,1,road
1873,15,road
1874,7,road
1875,13,road
1876,11,road
1877,7,road
1878,10,road
1879,14,road
1880,18,road
1881,18,road
1882,10,road
1883,37,road
1884,26,road
1885,29,road
1886,46,road
1887,85,road
1888,46,road
1889,53,road
1890,59,road
1891,20,road
1892,56,road
1893,73,road
1894,76,road
1895,107,road
1896,143,road
1897,101,road
1898,86,road
1899,90,road
1900,125,road
1901,98,road
1902,184,road
1903,76,road
1904,85,road
1905,75,road
1906,130,road
1907,101,road
1908,87,road
1909,172,road
1910,115,road
1804,1,transport
1807,3,transport
1811,2,transport
1815,1,transport
1819,1,transport
1820,1,transport
1823,1,transport
1824,2,transport
1825,1,transport
1826,2,transport
1830,4,transport
1831,1,transport
1833,2,transport
1834,3,transport
1835,4,transport
1836,11,transport
1837,5,transport
1838,1,transport
1839,8,transport
1840,3,transport
1841,5,transport
1842,5,transport
1843,2,transport
1844,1,transport
1845,47,transport
1846,27,transport
1847,18,transport
1848,11,transport
1849,13,transport
1850,24,transport
1851,5,transport
1852,9,transport
1853,7,transport
1854,13,transport
1855,13,transport
1856,6,transport
1857,4,transport
1858,7,transport
1860,6,transport
1861,11,transport
1862,9,transport
1863,12,transport
1864,6,transport
1865,9,transport
1866,7,transport
1867,17,transport
1868,5,transport
1869,6,transport
1870,4,transport
1871,8,transport
1872,1,transport
1873,15,transport
1874,7,transport
1875,13,transport
1876,11,transport
1877,7,transport
1878,10,transport
1879,14,transport
1880,18,transport
1881,18,transport
1882,10,transport
1883,37,transport
1884,26,transport
1885,29,transport
1886,46,transport
1887,85,transport
1888,46,transport
1889,53,transport
1890,59,transport
1891,20,transport
1892,56,transport
1893,73,transport
1894,76,transport
1895,107,transport
1896,143,transport
1897,101,transport
1898,86,transport
1899,90,transport
1900,125,transport
1901,98,transport
1902,184,transport
1903,76,transport
1904,85,transport
1905,75,transport
1906,130,transport
1907,101,transport
1908,87,transport
1909,172,transport
1910,115,transport
1804,1,railway
1807,3,railway
1811,2,railway
1815,1,railway
1819,1,railway
1820,1,railway
1823,1,railway
1824,2,railway
1825,1,railway
1826,2,railway
1830,4,railway
1831,1,railway
1833,2,railway
1834,3,railway
1835,4,railway
1836,11,railway
1837,5,railway
1838,1,railway
