"V1" "V2" "V3" "V4"
"abjuration" -3.74524958514959 0.919996614504021 0.932506616354092 -0.171452174163748
"alacrity" -1.55822672423511 -1.02822063681229 0.426271142871437 0.0346650494915985
"anglicans" -1.93335663745461 -0.444208242134319 -1.18216327565823 -1.81739040228597
"ardently" -1.6951082936441 -0.637400308482521 0.197959848367547 0.3602547223657
"ash" -0.689676777222407 -1.65860764298044 0.73450940019848 -0.188420071180683
"associating" -1.43029279357442 -0.588921859196823 0.781663286903383 -0.683424741030339
"balls" -1.43265829245378 -1.55583740550935 1.14090918727804 -0.229048552225877
"behoves" -1.18183777613475 -0.791445611678518 0.4946955347388 0.22255265619537
"bentham" -1.92029879531137 -0.618705880094436 0.889426942630286 -0.313828321397736
"bers" -1.92918659387929 -1.27130058947465 0.492604988998995 -0.706932295582096
"bewdley" -2.1996585878233 0.433356112336198 1.04289298173574 -1.74146056377973
"bismarck" -1.90540561749164 -0.566482096863706 2.20358200552299 1.00392100351334
"booths" -0.590142249520276 -0.962750202268006 0.657516783005933 -2.54249675116667
"cake" -1.54004931404162 -2.20952173740473 0.118080941186244 -0.404904438624756
"cannock" 0.171358300924217 -2.72932543594653 1.37364578630898 -0.222176069209489
"cesspayers" -1.38099622352381 -0.16287227767907 1.1083417936889 -1.68450549825832
"challenging" -1.26480442283863 -0.303637999260689 1.11711925420264 0.289341706077444
"chalmers" -1.34899396998364 -0.987401314439546 1.90087683275628 -0.200542127045696
"citing" -1.35241786643075 -0.607304572893689 0.82748368730394 -0.201558375912944
"climax" -1.05598374382476 -1.25385197490168 1.07481554823075 0.130712176756777
"commandant" 0.128423027234608 -0.764927424672762 2.63358155358469 -0.00428573526715036
"compromising" -1.3740814153103 -1.04071047824879 0.352130242888248 0.579588375562117
"conduced" -1.22556633502 -1.41699779664885 0.114957935366413 -0.107386480328657
"confiscating" -1.50922857328424 -1.11488515432704 -0.466199732045659 -0.80219573803254
"congregational" -1.30036750660329 -1.07781324984149 -0.417169300941759 -1.33573004604044
"contemptuously" -1.6775632170428 -0.558299291118727 0.437875540366366 -0.318829584927179
"copious" -1.35848361287703 -0.565806692678542 1.20727918328157 0.152477390037321
"crease" -0.482379689258012 -1.52354578466617 0.127380130393572 -0.0901668382124437
"criticising" -1.2643764542707 -0.202906466012411 0.90316284742525 -0.101767601708347
"cruizers" 0.27264415178094 -1.91675855408087 1.07151874526535 0.508517604722887
"defrauded" -0.994806249648691 -1.04444215564004 0.906235166209524 -0.27496475836607
"densely" -1.32876236621139 -2.12227712055285 -0.956094219592279 -1.31038583322145
"desolate" -1.19214386536583 -1.60936797471251 -0.169053482418362 -0.286029882838307
"detective" 0.503474057183599 -0.922085307823573 2.01095621926688 -0.237323323672505
"discern" -1.61643863320191 -1.1100249432143 0.373918787744304 0.422648789643183
"disposes" -1.58465963191075 -0.73801578314287 0.728566781099038 -0.229264300758964
"distrusted" -1.68368358817369 -0.627365488459517 0.11726980053569 -0.357650471599007
"dose" -0.778772726589445 -1.55674833876648 1.27339728516419 -0.240485908440495
"dowse" -2.07134375097249 -0.0859224085211709 1.81371052181317 -1.25411776521523
"eider" -1.20922678672133 -1.53575752801266 1.02954137894933 1.31613418418669
"evasions" -0.969204067473139 -1.1297248154044 0.49766900302179 -0.232712480451474
"executors" -0.321047263082812 -0.7379630780622 1.46837675474765 -1.45448935752896
"floors" -0.49753561684308 -1.70243954149251 0.75735672040483 -0.67806959882978
"général" -0.955269767096164 -1.52738339345102 2.51472182876691 1.14876772473064
"hayes" -1.27916315711236 -0.390058201471204 1.79320025482505 -0.366250646682418
"healthful" -0.7781809320139 -1.74624756494368 -0.160306469415164 -0.816315838394618
"heated" -1.51715616780796 -1.48725188626751 0.524657004113617 -0.033843430639589
"helm" -0.805624784270106 -1.71799966524301 1.07106802498803 1.04352427389321
"hovel" -1.50858498508813 -1.3339125426463 -0.0300209462291092 -1.72716702191596
"inexcusable" -1.10083733194206 -1.0219316986091 0.76496397603071 -0.439731359965
"infanticide" -1.32691254848029 -0.60650478862767 0.756674042187643 -0.931069299722673
"inscription" -1.03428954479645 -1.61463468681456 0.998270286343487 1.27702600610368
"insight" -1.04518972573786 -1.11642626584116 0.233327934900132 0.1009142241337
"insolvents" -0.557599688217615 -0.311068533937011 0.986959647775475 -2.42830105406517
"isles" -0.984882690058335 -1.70391130722519 0.122037706712124 1.26068433923489
"kane" -0.756886205992631 0.0339658021815536 1.45440893538619 -1.4258944788488
"kirwee" 0.4853570364712 -1.67210224903627 1.77545730731104 -0.828390925645868
"lawlessness" -1.83299450623871 -0.725838454907362 0.0547584158331208 0.475450343236892
"lenders" -0.0542672834582062 -1.44442371765865 -0.0303139312012417 -1.65173801288484
"lifford" -1.72768785582108 -0.0126503927500076 1.1651601062237 0.141971398202297
"looms" -0.0501524375813299 -2.14556047645664 0.216902597531797 -0.412530568239299
"lyon" -1.2990965752439 -0.186994320854361 2.19632850592181 -0.657792049415707
"mandate" -0.807970487201497 -0.353446232257093 2.03749475474492 -1.33872299731295
"measuring" -0.375420852651626 -1.92507608814014 0.174269693884301 -0.517543066153907
"meddled" -1.2558905453289 -1.11040040974088 0.448071496977665 0.0547394764258284
"monarchical" -2.22851511987337 -1.05774341814848 -0.826311195173692 0.261534418957435
"moribund" -2.39266466142486 0.104105022581563 0.60585149839376 0.236328424509839
"neutralization" -1.44035919192689 -2.00361948082611 0.524811834023038 1.58969649545226
"o'conor" -2.88089320845524 -0.463549393352349 1.37780200652955 -0.816583429082425
"oblivion" -1.69634693429437 -0.815083978377728 0.660100743741315 -0.174784271085417
"obstinately" -1.29442250576025 -0.932039843747779 1.02809270063497 -0.315513223769848
"ore" -0.663164357005885 -1.92926883649246 0.426569789256934 -0.45932493376274
"outskirts" -0.812396996190792 -1.64404049452426 -0.606475789675907 -1.32567146277028
"paradox" -1.56996219790914 -0.841011002774313 0.230773345506767 0.2896847112505
"parker" -1.08680677850057 -0.254490318944817 2.26840974364707 0.136643206876921
"peremptorily" -1.11768149308579 -0.444299445327609 1.15875700116463 -0.334437096464854
"pouring" -0.952232204898239 -1.55293625323342 0.373613829288241 -0.271180241893366
"presidents" -0.968861982622535 -0.237036657612103 1.52838018844394 -1.02286125928948
"prized" -1.54727430339686 -0.878388776613585 0.124222554353135 -0.0225870161634342
"promulgation" -1.1627191206039 -0.373340250742898 1.4767549403628 -0.424492044421445
"propound" -1.79609724686923 -0.739794534615196 0.486742246564688 0.410820517436152
"puisne" -0.383275417128468 1.18164593811879 2.71308589149243 -1.38134519398293
"raid" -1.07580520796537 -1.35308192144567 0.509854731303709 0.436239669031628
"ratifications" -0.733360394892356 -2.78464730118731 1.47487946715935 -0.1447710526838
"rechberg" -1.40781901278566 0.115511564415292 2.69121241883819 1.85653805387569
"revelation" -1.72295947641635 -1.11895818335759 0.393767319025321 -0.0545583069640477
"ritualism" -1.68510399040779 -0.638312135722372 0.75460440823514 0.00617358021803156
"romans" -1.65930290833284 -1.19143668541952 -0.00595219441948523 0.168302374079787
"sank" -0.956023853911339 -1.69919590184837 0.168349574352284 -0.437737955411971
"servile" -1.19828321030453 -0.786072764271423 0.967877830960985 0.738272271310365
"silenced" -1.2131132685753 -1.17558947000947 0.86612904870329 0.036873931497888
"sing" -1.78745492322194 -1.23518536548752 0.214935506850108 -0.231587733838899
"skibbereen" -0.847655235155028 -1.3357268494176 -0.450313747638106 -1.30164771752288
"socially" -2.28785929136566 -1.67444900057947 -0.414644432657201 -0.323380634400803
"spirituous" -0.657234189020704 -2.49242878169797 -1.27551333556107 -1.18677687023762
"stained" -1.81308969284224 -1.49203483921264 0.111519362343193 -0.223372072915912
"swedish" -0.85995640164748 -0.933435262693942 1.60165178400073 1.09172532817024
"tary" -0.74800113074526 -0.569971568368456 0.941860790360127 0.600584838121
"thessaly" -1.55851188715805 -2.06082975324667 -0.147728459026216 1.57161346183057
"tricks" -1.84022780603075 -1.09087130458508 0.839785475695155 -0.180667051100697
"unconsciously" -1.62056327678919 -0.818038587997427 0.810661178846147 0.200443060731231
"uniforms" 0.0340864042540561 -1.63560932767079 1.14136151403841 0.502557019798531
"unmistakably" -1.4226502423299 -0.520844172160795 0.4803309631157 -0.430602505206636
"unreservedly" -1.0049821418332 -0.556095419230895 1.01856246740896 -0.14334818258887
"vainly" -0.942967452491164 -1.41711483243866 0.618141557590922 -0.0928381325998532
"victuals" 0.564103077247908 -1.66117002877023 -0.0120816517017018 -2.03179197373532
"vouchsafed" -1.31391510568295 -0.559902404124349 1.05911125298614 -0.00135770855018637
"windham" -0.660718500810807 -0.323336943805175 2.42914882790708 -0.386225521133387
"wounding" -1.17528490100031 -0.943081715607366 1.27864153421029 -0.358606976925947
"wrangler" -1.97739696067175 0.389872660949493 2.20103115698287 -1.58149657817815
"adorn" -1.28114459180734 -0.261925451013937 1.15629274975439 -0.346214780146271
"annihilate" -1.21403809816704 -1.02674942298233 -0.0240902080688121 -0.196765008522334
"antagonists" -1.19456760231939 -1.58203491535261 0.141331679256029 0.403337059354346
"apostles" -2.19538240858184 -1.14583966437927 0.12096289946385 -0.520267411768507
"arrogant" -1.93360842234897 -0.429839592678088 0.756944362589354 0.662359261076644
"auctioneers" -0.960019095179385 -1.19085770152803 0.791959258698549 -1.69472002050356
"averaging" 0.3336617861876 -1.76674363282777 0.289731870905998 -1.58039400167585
"bachelor" -1.47210035736301 -0.293226663053783 0.529222176948856 -2.13490548263299
"bailiffs" -0.671729009097445 -0.799955871110061 1.50961259187237 -0.87047816465402
"bitterest" -2.40384481869276 -1.33252658227724 -0.0734218634168657 0.99560072438058
"blew" -1.05055701684291 -2.23448973257598 0.193732035874506 0.677595063580834
"boasting" -1.44571187058994 -1.5989233835963 -0.168195297934147 0.563570455524441
"bordeaux" -0.200116247986945 -2.26111052442652 0.456545100763523 0.282985885549399
"boxer" 0.16204798600784 -1.04134775316643 2.35012386305661 0.195190100878235
"brigadier" 0.209085895515782 -0.388792567017094 2.85676712808038 0.256541301199933
"bute" -0.760008344701504 -1.16258442079951 0.495354934905063 -1.14072373983827
"calumnies" -1.5902232477002 -1.16860184555753 0.52837357414383 0.490363137628431
"cemeteries" -1.54907933098631 -1.35790309741535 0.137427169302743 -0.610326523022017
"censuring" -1.23079454685424 -0.127011855535802 1.52574916965801 0.659127305442742
"chasm" -0.73089372285259 -2.67964448293086 -0.636372802248011 -0.145063644046754
"cheque" -0.212284819431251 -1.16970370606773 1.70303223191887 -0.903246182785625
"clone" -1.13044973963602 -1.07787694331602 0.425591661660046 -0.0447187017937952
"cognate" -1.04934045191226 -1.15852703028601 0.437211501162144 -0.711811959741528
"commis" -1.0196199421322 -1.21456748229841 1.22175454756972 -1.08400053615087
"commiseration" -1.9327173473061 -1.05692740857937 -0.00800269666063887 0.133998658386
"compartments" 0.453662904961264 -2.22681385532516 0.326874002608123 -0.530311379331558
"congenial" -1.46612169207829 -1.10536080108169 0.115775398233707 0.385199815452176
"conran" -0.00878306777003685 -1.24924951514662 2.34039752842031 1.21304552892969
"consummate" -1.14613054282542 -0.465555267678441 1.31583365196398 0.281618051214677
"conveys" -1.34396614026519 -0.413373355399256 1.0893613001652 0.277155348305371
"convocations" -2.15358263663561 0.037703427857241 1.18628237238455 -0.196561602361257
"cornish" -0.674873362771294 -1.53642541614686 0.194762098132183 -1.40703672032788
"counterbalanced" -0.531402633759151 -1.75385591567817 -0.281882936724281 0.0594276487671057
