year,grammatical_collocates,afinn,textblob,vader,combined_score
1803,own property,0,0.6,0,0.6
1803,real property,0,0.2,0,0.2
1803,certain lands,1,0.21428571428571427,0.2732,1.487485714285714
1803,own tenants,0,0.6,0,0.6
1803,desirable property,2,0,0.3182,2.3182
1803,other property,0,-0.125,0,-0.125
1803,capable property,1,0.2,0.3818,1.5817999999999999
1803,other property,0,-0.125,0,-0.125
1804,freehold property,0,0,0.1779,0.1779
1804,few landsmen,0,-0.2,0,-0.2
1804,unhappy land,-2,-0.6,-0.4215,-3.0215
1805,military splendor,0,-0.1,0.61240000000000006,0.5124000000000001
1805,many absentees,-1,0.5,-0.2023,-0.7023
1805,own lands,0,0.6,0,0.6
1805,other tenements,0,-0.125,0,-0.125
1805,other property,0,-0.125,0,-0.125
1805,whole property,0,0.2,0,0.2
1805,other property,0,-0.125,0,-0.125
1808,own property,0,0.6,0,0.6
1808,own property,0,0.6,0,0.6
1808,other property,0,-0.125,0,-0.125
1808,own property,0,0.6,0,0.6
1808,foreign property,0,-0.125,0,-0.125
1808,other property,0,-0.125,0,-0.125
1808,other property,0,-0.125,0,-0.125
1808,other property,0,-0.125,0,-0.125
1808,own property,0,0.6,0,0.6
1808,much land,0,0.2,0,0.2
1808,new lands,0,0.13636363636363635,0,0.13636363636363635
1808,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1808,other property,0,-0.125,0,-0.125
1808,profitable property,2,0,0.4404,2.4404
1808,happy lands,3,0.8,0.5719,4.3719
1808,less land,0,-0.16666666666666666,0,-0.16666666666666666
1808,recommended inclosures,2,0,0.2023,2.2023
1808,real property,0,0.2,0,0.2
1808,other property,0,-0.125,0,-0.125
1808,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1808,other property,0,-0.125,0,-0.125
1808,worthy property,2,0.3333333333333333,0.4404,2.7737333333333334
1808,foreign property,0,-0.125,0,-0.125
1808,foreign property,0,-0.125,0,-0.125
1808,own property,0,0.6,0,0.6
1808,large property,0,0.21428571428571427,0,0.21428571428571427
1808,small property,0,-0.25,0,-0.25
1808,whole property,0,0.2,0,0.2
1808,much property,0,0.2,0,0.2
1808,legal property,1,0.2,0.128,1.3279999999999998
1808,great property,3,0.8,0.6249,4.4249
1808,much land,0,0.2,0,0.2
1808,great landholder,3,0.8,0.6249,4.4249
1808,poor land,-2,-0.4,-0.4767,-2.8767
1808,rich land,2,0.375,0.5574,2.9324
1808,own property,0,0.6,0,0.6
1809,own property,0,0.6,0,0.6
1809,old subalterns,0,0.1,0,0.1
1809,many subalterns,0,0.5,0,0.5
1809,other property,0,-0.125,0,-0.125
1811,own tenantry,0,0.6,0,0.6
1811,certain lands,1,0.21428571428571427,0.2732,1.487485714285714
