n,sentiment,decade,grammatical_collocates
8,Positive,1800,own property
4,Positive,1800,real property
1,Positive,1800,certain lands
2,Positive,1800,own tenants
1,Positive,1800,desirable property
1,Positive,1800,capable property
1,Positive,1800,freehold property
1,Positive,1800,military splendor
1,Positive,1800,own lands
4,Positive,1800,whole property
3,Positive,1800,much land
1,Positive,1800,new lands
2,Positive,1800,certain property
1,Positive,1800,profitable property
1,Positive,1800,happy lands
1,Positive,1800,recommended inclosures
1,Positive,1800,worthy property
2,Positive,1800,large property
1,Positive,1800,much property
1,Positive,1800,legal property
1,Positive,1800,great property
1,Positive,1800,great landholder
1,Positive,1800,rich land
1,Positive,1800,old subalterns
1,Positive,1800,many subalterns
2,Positive,1810,own tenantry
1,Positive,1810,certain lands
20,Positive,1810,whole property
1,Positive,1810,available property
20,Positive,1810,considerable property
6,Positive,1810,certain property
28,Positive,1810,own property
5,Positive,1810,own land
1,Positive,1810,solid property
14,Positive,1810,large property
1,Positive,1810,respectable tenants
3,Positive,1810,old leases
1,Positive,1810,whole tenantry
1,Positive,1810,fresh landlords
6,Positive,1810,much land
1,Positive,1810,certain allotment
4,Positive,1810,whole rental
47,Positive,1810,real property
1,Positive,1810,agreed rent
4,Positive,1810,peculiar property
1,Positive,1810,own chattels
1,Positive,1810,many eminent
1,Positive,1810,most property
3,Positive,1810,valuable property
13,Positive,1810,freehold property
2,Positive,1810,happy land
1,Positive,1810,smiling land
3,Positive,1810,more property
8,Positive,1810,great property
1,Positive,1810,certain landholder
1,Positive,1810,great landholder
1,Positive,1810,large rent
2,Positive,1810,own tenants
3,Positive,1810,new lease
3,Positive,1810,greater rent
1,Positive,1810,particular tenant
2,Positive,1810,many landlords
1,Positive,1810,favourable landholders
1,Positive,1810,own rent
2,Positive,1810,original landlord
1,Positive,1810,original rent
1,Positive,1810,benevolent landlord
1,Positive,1810,valuable lease
1,Positive,1810,greatest rent
1,Positive,1810,desirable property
1,Positive,1810,general property
1,Positive,1810,particular land
1,Positive,1810,unvaried splendor
1,Positive,1810,best land
1,Positive,1810,best lands
1,Positive,1810,higher rent
3,Positive,1810,whole land
1,Positive,1810,magnificent property
1,Positive,1810,many tenants
1,Positive,1810,honest tenants
1,Positive,1810,beneficial leases
3,Positive,1810,more rent
2,Positive,1810,increased rent
1,Positive,1810,particular landlord
1,Positive,1810,respectable landlord
1,Positive,1810,fresh lease
2,Positive,1810,many landholders
6,Positive,1810,great landholders
1,Positive,1810,very land
1,Positive,1810,more lands
1,Positive,1810,fine land
1,Positive,1810,whole rents
7,Positive,1810,much property
1,Positive,1810,advanced rents
1,Positive,1810,favoured land
2,Positive,1810,vested property
1,Positive,1810,whole rent
1,Positive,1810,valuable leases
1,Positive,1810,favourable leases
1,Positive,1810,greatest property
2,Positive,1810,own demesne
1,Positive,1810,rich landlord
1,Positive,1800,great rents
1,Positive,1810,competent property
1,Positive,1810,greatest landholders
1,Positive,1810,many lands
1,Positive,1800,certain leaseholders
1,Positive,1800,competent property
2,Positive,1810,considerable landholders
1,Positive,1800,good landlord
1,Positive,1800,respectable tenant
2,Positive,1810,old rents
1,Positive,1810,rich lands
1,Positive,1810,high property
6,Positive,1810,high rents
1,Positive,1810,right property
1,Positive,1810,considerable landholder
2,Positive,1810,full property
1,Positive,1810,apt lands
1,Positive,1810,true landlord
1,Positive,1810,higher rents
