decade,Nation1,Nation2,n,nation_pair
1800,france,russia,1,france-russia
1800,niger,hausa,1,niger-hausa
1800,russia,france,1,russia-france
1800,spain,portugal,4,spain-portugal
1800,trinidad,venezuela,1,trinidad-venezuela
1810,colonies,java,1,colonies-java
1810,england,ireland,1,england-ireland
1810,england,the country,1,england-the country
1810,mauritius,java,2,mauritius-java
1810,netherlands,russia,1,netherlands-russia
1810,netherlands,sierra leone,1,netherlands-sierra leone
1810,oman,england,4,oman-england
1810,oman,ireland,13,oman-ireland
1810,russia,prussia,1,russia-prussia
1810,spain,colonies,1,spain-colonies
1810,spanish,america,1,spanish-america
1810,sweden,norway,1,sweden-norway
1810,wales,wales,1,wales-wales
1810,west india,colonies,1,west india-colonies
1820,austria,switzerland,2,austria-switzerland
1820,colonial,the country,1,colonial-the country
1820,demerara,berbice,1,demerara-berbice
1820,england,ireland,1,england-ireland
1820,france,spain,6,france-spain
1820,greece,portugal,1,greece-portugal
1820,greece,turkey,1,greece-turkey
1820,india,colonies,1,india-colonies
1820,oman,england,2,oman-england
1820,oman,ireland,9,oman-ireland
1820,russia,west coast,1,russia-west coast
1820,scotland,ireland,3,scotland-ireland
1820,the country,turkey,1,the country-turkey
1820,turkey,greece,3,turkey-greece
1820,turkey,russia,1,turkey-russia
1820,west indies,antigua,1,west indies-antigua
1830,belgium,france,1,belgium-france
1830,colonies,west india,1,colonies-west india
1830,england,france,1,england-france
1830,england,spain,1,england-spain
1830,france,belgium,1,france-belgium
1830,france,portugal,2,france-portugal
1830,holland,belgium,7,holland-belgium
1830,india,america,2,india-america
1830,india,colonies,3,india-colonies
1830,mexico,cuba,1,mexico-cuba
1830,oman,ireland,5,oman-ireland
1830,oman,scotland,2,oman-scotland
1830,russia,austria,1,russia-austria
1830,russia,russia,1,russia-russia
1830,russia,turkey,3,russia-turkey
1830,scotland,england,1,scotland-england
1830,spain,colonies,1,spain-colonies
1830,spanish,portugal,1,spanish-portugal
1830,the country,portugal,1,the country-portugal
1830,turkey,egypt,4,turkey-egypt
1830,united kingdom,america,1,united kingdom-america
1830,united states,england,1,united states-england
1830,west india,america,2,west india-america
1830,west indies,america,1,west indies-america
1830,west indies,united states,1,west indies-united states
1840,africa,colonies,1,africa-colonies
1840,australia,new zealand,1,australia-new zealand
1840,austria,hungary,1,austria-hungary
1840,austria,italy,1,austria-italy
1840,austria,sardinia,1,austria-sardinia
1840,brazil,portugal,1,brazil-portugal
1840,canada,jamaica,1,canada-jamaica
1840,central,america,1,central-america
1840,china,india,1,china-india
1840,colonial,british guiana,1,colonial-british guiana
1840,colonial,ireland,1,colonial-ireland
1840,colonial,west india,1,colonial-west india
1840,colonial,west indies,1,colonial-west indies
1840,colonies,colonial,1,colonies-colonial
1840,denmark,germany,1,denmark-germany
1840,egypt,syria,1,egypt-syria
1840,england,france,1,england-france
1840,england,ireland,2,england-ireland
1840,england,scotland,3,england-scotland
1840,england,wales,1,england-wales
1840,france,egypt,1,france-egypt
1840,france,morocco,2,france-morocco
1840,france,portugal,2,france-portugal
1840,hong kong,china,1,hong kong-china
1840,india,china,1,india-china
1840,india,mauritius,1,india-mauritius
1840,ireland,scotland,3,ireland-scotland
1840,jews,jamaica,1,jews-jamaica
1840,mexico,texas,1,mexico-texas
1840,mexico,united states,1,mexico-united states
1840,newfoundland,new south wales,1,newfoundland-new south wales
1840,newfoundland,the colonies,1,newfoundland-the colonies
1840,oman,india,2,oman-india
1840,oman,ireland,1,oman-ireland
1840,oman,the colonies,1,oman-the colonies
1840,portugal,brazil,1,portugal-brazil
1840,portugal,brazils,1,portugal-brazils
1840,russia,austria,1,russia-austria
1840,russia,turkey,3,russia-turkey
1840,scotland,ireland,4,scotland-ireland
1840,scotland,scotland,2,scotland-scotland
1840,spanish,colonial,2,spanish-colonial
1840,spanish,colonies,1,spanish-colonies
1840,tahiti,morocco,1,tahiti-morocco
1840,the country,ireland,1,the country-ireland
1840,turkey,egypt,2,turkey-egypt
1840,turkey,syria,1,turkey-syria
1840,united states,mexico,1,united states-mexico
1840,west india,colonies,2,west india-colonies
1840,west indies,africa,1,west indies-africa
1850,africa,danish,1,africa-danish
1850,australia,new zealand,1,australia-new zealand
1850,austria,prussia,1,austria-prussia
1850,central,america,2,central-america
1850,denmark,prussia,1,denmark-prussia
1850,denmark,sweden,1,denmark-sweden
1850,egypt,turkey,1,egypt-turkey
1850,england,france,1,england-france
1850,england,ireland,3,england-ireland
1850,england,the colonies,1,england-the colonies
1850,france,austria,2,france-austria
1850,france,russia,1,france-russia
1850,holland,belgium,1,holland-belgium
1850,india,america,1,india-america
1850,india,china,3,india-china
1850,india,east india,1,india-east india
1850,india,india,1,india-india
1850,india,trinidad,1,india-trinidad
1850,ireland,ireland,5,ireland-ireland
1850,ireland,scotland,1,ireland-scotland
1850,italy,austria,1,italy-austria
1850,italy,central,1,italy-central
1850,new south wales,australia,1,new south wales-australia
1850,new south wales,queensland,1,new south wales-queensland
1850,oman,india,2,oman-india
1850,oman,ireland,3,oman-ireland
1850,oman,malta,1,oman-malta
1850,oman,the colonies,1,oman-the colonies
1850,portugal,turkey,1,portugal-turkey
1850,prussia,denmark,1,prussia-denmark
