speaker,word,decade,n
colonel craufurd,army,1800,164
colonel craufurd,men,1800,138
colonel craufurd,country,1800,98
colonel craufurd,military,1800,93
colonel craufurd,war,1800,92
colonel craufurd,force,1800,84
colonel craufurd,system,1800,74
colonel craufurd,enemy,1800,68
colonel craufurd,time,1800,68
colonel craufurd,gent,1800,61
colonel seely,volunteers,1880,14
colonel seely,men,1880,13
colonel seely,000,1880,12
colonel seely,ammunition,1880,11
colonel seely,battalions,1880,9
colonel seely,country,1880,9
colonel seely,time,1880,9
colonel seely,troops,1880,9
colonel seely,infantry,1880,8
colonel seely,volunteer,1880,8
colonel seely,government,1900,413
colonel seely,south,1900,175
colonel seely,africa,1900,168
colonel seely,information,1900,136
colonel seely,governor,1900,131
colonel seely,colonies,1900,121
colonel seely,natives,1900,118
colonel seely,colony,1900,109
colonel seely,country,1900,108
colonel seely,native,1900,108
colonel seely,government,1910,127
colonel seely,information,1910,79
colonel seely,country,1910,75
colonel seely,time,1910,62
colonel seely,000,1910,58
colonel seely,policy,1910,55
colonel seely,colonial,1910,53
colonel seely,colonies,1910,52
colonel seely,cotton,1910,49
colonel seely,received,1910,48
colonel stanley,instead,1800,2
colonel stanley,value,1800,2
colonel stanley,10,1800,1
colonel stanley,100,1800,1
colonel stanley,20,1800,1
colonel stanley,30,1800,1
colonel stanley,dwelling,1800,1
colonel stanley,gained,1800,1
colonel stanley,irish,1800,1
colonel stanley,parishes,1800,1
colonel stanley,petitioners,1810,11
colonel stanley,relief,1810,7
colonel stanley,afford,1810,4
colonel stanley,cotton,1810,4
colonel stanley,industrious,1810,4
colonel stanley,employ,1810,3
colonel stanley,lancashire,1810,3
colonel stanley,manufacture,1810,3
colonel stanley,petition,1810,3
colonel stanley,serious,1810,3
colonel stanley,officers,1870,335
colonel stanley,time,1870,308
colonel stanley,men,1870,300
colonel stanley,army,1870,226
colonel stanley,gallant,1870,225
colonel stanley,government,1870,192
colonel stanley,officer,1870,184
colonel stanley,year,1870,170
colonel stanley,war,1870,159
colonel stanley,vote,1870,150
colonel stanley,time,1880,215
colonel stanley,government,1880,195
colonel stanley,officers,1880,164
colonel stanley,year,1880,139
colonel stanley,men,1880,132
colonel stanley,vote,1880,121
colonel stanley,army,1880,114
colonel stanley,war,1880,87
colonel stanley,system,1880,78
colonel stanley,hope,1880,77
dr. kenealy,country,1870,178
dr. kenealy,justice,1870,141
dr. kenealy,government,1870,140
dr. kenealy,law,1870,133
dr. kenealy,time,1870,131
dr. kenealy,public,1870,123
dr. kenealy,people,1870,116
dr. kenealy,trial,1870,111
dr. kenealy,court,1870,100
dr. kenealy,000,1870,94
dr. kenealy,park,1880,8
dr. kenealy,public,1880,8
dr. kenealy,duke,1880,5
dr. kenealy,game,1880,5
dr. kenealy,laws,1880,5
dr. kenealy,richmond,1880,4
dr. kenealy,cambridge,1880,3
dr. kenealy,four,1880,3
dr. kenealy,time,1880,3
dr. kenealy,waite,1880,3
earl grey,army,1800,109
earl grey,spain,1800,80
earl grey,ministers,1800,72
earl grey,country,1800,69
earl grey,moore,1800,52
earl grey,john,1800,51
earl grey,000,1800,35
earl grey,french,1800,35
earl grey,information,1800,34
earl grey,men,1800,34
earl grey,country,1810,434
earl grey,people,1810,249
earl grey,government,1810,239
earl grey,time,1810,219
earl grey,parliament,1810,212
earl grey,war,1810,181
earl grey,ministers,1810,173
earl grey,france,1810,170
earl grey,lords,1810,166
earl grey,catholics,1810,162
earl grey,country,1820,235
earl grey,government,1820,169
earl grey,spain,1820,153
earl grey,ministers,1820,148
earl grey,time,1820,129
earl grey,france,1820,115
earl grey,proceeding,1820,108
earl grey,conduct,1820,105
earl grey,public,1820,102
earl grey,war,1820,97
earl grey,government,1830,1138
earl grey,country,1830,861
earl grey,duke,1830,804
earl grey,time,1830,569
earl grey,ireland,1830,542
earl grey,lords,1830,436
earl grey,ministers,1830,427
earl grey,parliament,1830,424
earl grey,public,1830,403
earl grey,church,1830,399
earl grey,country,1840,659
earl grey,government,1840,547
earl grey,colonies,1840,417
earl grey,system,1840,408
earl grey,time,1840,405
earl grey,parliament,1840,352
earl grey,law,1840,350
earl grey,ireland,1840,333
earl grey,land,1840,276
earl grey,year,1840,259
earl grey,government,1850,1445
earl grey,country,1850,1039
earl grey,time,1850,775
earl grey,war,1850,739
earl grey,parliament,1850,633
earl grey,system,1850,482
earl grey,colonies,1850,457
earl grey,power,1850,445
earl grey,convicts,1850,416
earl grey,men,1850,404
earl grey,government,1860,1104
earl grey,parliament,1860,624
earl grey,country,1860,559
earl grey,time,1860,496
earl grey,ireland,1860,365
earl grey,church,1860,343
earl grey,war,1860,339
earl grey,power,1860,325
earl grey,system,1860,318
earl grey,law,1860,298
earl grey,government,1870,603
earl grey,country,1870,246
earl grey,time,1870,228
earl grey,war,1870,210
earl grey,system,1870,198
earl grey,parliament,1870,189
earl grey,army,1870,188
earl grey,men,1870,181
earl grey,power,1870,159
earl grey,authority,1870,144
earl grey,aliens,1890,15
earl grey,trade,1890,13
earl grey,foreigners,1890,11
earl grey,immigration,1890,11
earl grey,population,1890,11
earl grey,public,1890,10
earl grey,charge,1890,9
earl grey,foreign,1890,9
earl grey,lords,1890,9
earl grey,destitute,1890,8
earl grey,government,1900,109
earl grey,public,1900,65
earl grey,south,1900,65
earl grey,houses,1900,58
earl grey,british,1900,56
earl grey,africa,1900,55
earl grey,value,1900,54
earl grey,000,1900,52
earl grey,licences,1900,49
earl grey,trade,1900,44
lord archibald hamilton,evidence,1800,34
lord archibald hamilton,ireland,1800,29
lord archibald hamilton,time,1800,23
lord archibald hamilton,transaction,1800,19
lord archibald hamilton,writership,1800,18
lord archibald hamilton,india,1800,16
lord archibald hamilton,duty,1800,15
lord archibald hamilton,reding,1800,15
lord archibald hamilton,country,1800,14
lord archibald hamilton,gent,1800,14
lord archibald hamilton,magistrates,1810,77
lord archibald hamilton,burgh,1810,74
lord archibald hamilton,scotland,1810,55
lord archibald hamilton,law,1810,53
lord archibald hamilton,system,1810,51
lord archibald hamilton,authority,1810,47
lord archibald hamilton,country,1810,46
lord archibald hamilton,burghs,1810,45
lord archibald hamilton,crown,1810,45
lord archibald hamilton,drummond,1810,45
lord archibald hamilton,ministers,1820,89
lord archibald hamilton,scotland,1820,71
lord archibald hamilton,council,1820,68
lord archibald hamilton,queen,1820,67
lord archibald hamilton,name,1820,52
lord archibald hamilton,time,1820,51
lord archibald hamilton,country,1820,49
lord archibald hamilton,burghs,1820,46
