speaker,word,n
mr. william elliot,ireland,21
mr. william elliot,parliament,19
mr. william elliot,information,16
mr. william elliot,ministers,16
mr. william elliot,country,15
mr. william elliot,government,15
mr. william elliot,law,15
mr. william elliot,conspiracy,11
mr. william elliot,several,11
mr. william elliot,martial,9
mr. william elliot,public,9
mr. william elliot,united,9
mr. william elliot,confidence,7
mr. william elliot,dublin,7
mr. william elliot,former,7
mr. william elliot,irish,7
mr. william elliot,kingdom,7
mr. william elliot,parliamentary,7
mr. william elliot,session,7
mr. william elliot,lieutenant,6
mr. fox,gent,236
mr. fox,country,128
mr. fox,ministers,118
mr. fox,volunteers,94
mr. fox,time,87
mr. fox,war,76
mr. fox,petition,73
mr. fox,power,65
mr. fox,system,65
mr. fox,inquiry,61
mr. fox,men,61
mr. fox,army,60
mr. fox,public,60
mr. fox,parliament,56
mr. fox,government,53
mr. fox,circumstances,52
mr. fox,conduct,52
mr. fox,ireland,52
mr. fox,volunteer,47
mr. fox,defence,46
mr. pitt,country,126
mr. pitt,volunteer,118
mr. pitt,volunteers,112
mr. pitt,corps,94
mr. pitt,system,91
mr. pitt,force,83
mr. pitt,officers,73
mr. pitt,duty,67
mr. pitt,parliament,62
mr. pitt,enemy,60
mr. pitt,danger,54
mr. pitt,ministers,54
mr. pitt,discipline,53
mr. pitt,gent,48
mr. pitt,time,48
mr. pitt,army,47
mr. pitt,defence,47
mr. pitt,permanent,47
mr. pitt,regular,45
mr. pitt,war,44
mr. windham,country,278
mr. windham,men,239
mr. windham,army,231
mr. windham,time,179
mr. windham,force,174
mr. windham,gent,144
mr. windham,system,138
mr. windham,public,111
mr. windham,government,110
mr. windham,people,109
mr. windham,ministers,108
mr. windham,sort,101
mr. windham,others,100
mr. windham,volunteers,100
mr. windham,military,96
mr. windham,instance,91
mr. windham,law,86
mr. windham,danger,84
mr. windham,conduct,82
mr. windham,greater,81
mr. windbam,army,23
mr. windbam,corps,22
mr. windbam,men,21
mr. windbam,military,14
mr. windbam,officers,13
mr. windbam,volunteer,13
mr. windbam,time,11
mr. windbam,character,10
mr. windbam,regular,10
mr. windbam,training,10
mr. windbam,distinctions,7
mr. windbam,honours,7
mr. windbam,apprehended,6
mr. windbam,life,6
mr. windbam,likely,6
mr. windbam,produce,6
mr. windbam,soldier,6
mr. windbam,system,6
mr. windbam,value,6
mr. windbam,volunteers,6
colonel craufurd,army,164
colonel craufurd,men,138
colonel craufurd,country,98
colonel craufurd,military,93
colonel craufurd,war,92
colonel craufurd,force,84
colonel craufurd,system,74
colonel craufurd,enemy,68
colonel craufurd,time,68
colonel craufurd,gent,61
colonel craufurd,ministers,57
colonel craufurd,officers,56
colonel craufurd,volunteers,54
colonel craufurd,regular,48
colonel craufurd,situation,43
colonel craufurd,government,42
colonel craufurd,consider,39
colonel craufurd,line,38
colonel craufurd,troops,38
colonel craufurd,manner,36
sir h. james,election,32
sir h. james,vote,30
sir h. james,party,28
sir h. james,government,25
sir h. james,borough,21
sir h. james,constituency,20
sir h. james,votes,18
sir h. james,county,17
sir h. james,year,17
sir h. james,franchise,16
sir h. james,men,16
sir h. james,class,15
sir h. james,country,15
sir h. james,agent,14
sir h. james,registration,14
sir h. james,introduced,13
sir h. james,voters,13
sir h. james,5,12
sir h. james,agents,12
sir h. james,majority,11
the chancellor of the exchequer,gent,653
the chancellor of the exchequer,time,319
the chancellor of the exchequer,evidence,302
the chancellor of the exchequer,country,264
the chancellor of the exchequer,public,247
the chancellor of the exchequer,duty,177
the chancellor of the exchequer,circumstances,173
the chancellor of the exchequer,war,164
the chancellor of the exchequer,year,160
the chancellor of the exchequer,conduct,141
the chancellor of the exchequer,000,138
the chancellor of the exchequer,charge,133
the chancellor of the exchequer,forward,129
the chancellor of the exchequer,spain,129
the chancellor of the exchequer,col,128
the chancellor of the exchequer,letter,127
the chancellor of the exchequer,parliament,125
the chancellor of the exchequer,note,116
the chancellor of the exchequer,ireland,111
the chancellor of the exchequer,purpose,108
mr. sheridan,gent,122
mr. sheridan,country,88
mr. sheridan,men,64
mr. sheridan,time,36
mr. sheridan,administration,34
mr. sheridan,evidence,31
mr. sheridan,force,31
mr. sheridan,conduct,29
mr. sheridan,army,27
mr. sheridan,ministers,25
mr. sheridan,people,25
mr. sheridan,public,25
mr. sheridan,government,24
mr. sheridan,former,23
mr. sheridan,character,21
mr. sheridan,petition,21
mr. sheridan,war,21
mr. sheridan,naval,20
mr. sheridan,power,20
mr. sheridan,parliament,19
lord henry petty,expedition,53
lord henry petty,country,52
lord henry petty,army,48
lord henry petty,portugal,47
lord henry petty,time,32
lord henry petty,spain,31
lord henry petty,wellesley,31
lord henry petty,public,29
lord henry petty,cavalry,28
lord henry petty,ireland,27
lord henry petty,inquiry,24
lord henry petty,ministers,22
lord henry petty,convention,21
lord henry petty,french,19
lord henry petty,instructions,19
lord henry petty,officer,19
lord henry petty,british,18
lord henry petty,force,18
lord henry petty,parliament,18
lord henry petty,situation,18
mr. francis,war,26
mr. francis,india,24
mr. francis,country,13
mr. francis,defence,13
mr. francis,public,13
