speaker,word,decade,n
mr. william elliot,ireland,1800,21
mr. william elliot,parliament,1800,19
mr. william elliot,information,1800,16
mr. william elliot,ministers,1800,16
mr. william elliot,country,1800,15
mr. william elliot,government,1800,15
mr. william elliot,law,1800,15
mr. william elliot,conspiracy,1800,11
mr. william elliot,several,1800,11
mr. william elliot,martial,1800,9
mr. william elliot,public,1800,9
mr. william elliot,united,1800,9
mr. william elliot,confidence,1800,7
mr. william elliot,dublin,1800,7
mr. william elliot,former,1800,7
mr. william elliot,irish,1800,7
mr. william elliot,kingdom,1800,7
mr. william elliot,parliamentary,1800,7
mr. william elliot,session,1800,7
mr. william elliot,lieutenant,1800,6
mr. fox,gent,1800,236
mr. fox,country,1800,128
mr. fox,ministers,1800,118
mr. fox,volunteers,1800,94
mr. fox,time,1800,87
mr. fox,war,1800,76
mr. fox,petition,1800,73
mr. fox,power,1800,65
mr. fox,system,1800,65
mr. fox,inquiry,1800,61
mr. fox,men,1800,61
mr. fox,army,1800,60
mr. fox,public,1800,60
mr. fox,parliament,1800,56
mr. fox,government,1800,53
mr. fox,circumstances,1800,52
mr. fox,conduct,1800,52
mr. fox,ireland,1800,52
mr. fox,volunteer,1800,47
mr. fox,defence,1800,46
mr. pitt,country,1800,126
mr. pitt,volunteer,1800,118
mr. pitt,volunteers,1800,112
mr. pitt,corps,1800,94
mr. pitt,system,1800,91
mr. pitt,force,1800,83
mr. pitt,officers,1800,73
mr. pitt,duty,1800,67
mr. pitt,parliament,1800,62
mr. pitt,enemy,1800,60
mr. pitt,danger,1800,54
mr. pitt,ministers,1800,54
mr. pitt,discipline,1800,53
mr. pitt,gent,1800,48
mr. pitt,time,1800,48
mr. pitt,army,1800,47
mr. pitt,defence,1800,47
mr. pitt,permanent,1800,47
mr. pitt,regular,1800,45
mr. pitt,war,1800,44
mr. windham,country,1800,278
mr. windham,men,1800,239
mr. windham,army,1800,231
mr. windham,time,1800,179
mr. windham,force,1800,174
mr. windham,gent,1800,144
mr. windham,system,1800,138
mr. windham,public,1800,111
mr. windham,government,1800,110
mr. windham,people,1800,109
mr. windham,ministers,1800,108
mr. windham,sort,1800,101
mr. windham,others,1800,100
mr. windham,volunteers,1800,100
mr. windham,military,1800,96
mr. windham,instance,1800,91
mr. windham,law,1800,86
mr. windham,danger,1800,84
mr. windham,conduct,1800,82
mr. windham,greater,1800,81
mr. windbam,army,1800,23
mr. windbam,corps,1800,22
mr. windbam,men,1800,21
mr. windbam,military,1800,14
mr. windbam,officers,1800,13
mr. windbam,volunteer,1800,13
mr. windbam,time,1800,11
mr. windbam,character,1800,10
mr. windbam,regular,1800,10
mr. windbam,training,1800,10
mr. windbam,distinctions,1800,7
mr. windbam,honours,1800,7
mr. windbam,apprehended,1800,6
mr. windbam,life,1800,6
mr. windbam,likely,1800,6
mr. windbam,produce,1800,6
mr. windbam,soldier,1800,6
mr. windbam,system,1800,6
mr. windbam,value,1800,6
mr. windbam,volunteers,1800,6
colonel craufurd,army,1800,164
colonel craufurd,men,1800,138
colonel craufurd,country,1800,98
colonel craufurd,military,1800,93
colonel craufurd,war,1800,92
colonel craufurd,force,1800,84
colonel craufurd,system,1800,74
colonel craufurd,enemy,1800,68
colonel craufurd,time,1800,68
colonel craufurd,gent,1800,61
colonel craufurd,ministers,1800,57
colonel craufurd,officers,1800,56
colonel craufurd,volunteers,1800,54
colonel craufurd,regular,1800,48
colonel craufurd,situation,1800,43
colonel craufurd,government,1800,42
colonel craufurd,consider,1800,39
colonel craufurd,line,1800,38
colonel craufurd,troops,1800,38
colonel craufurd,manner,1800,36
sir h. james,election,1800,32
sir h. james,vote,1800,30
sir h. james,party,1800,28
sir h. james,government,1800,25
sir h. james,borough,1800,21
sir h. james,constituency,1800,20
sir h. james,votes,1800,18
sir h. james,county,1800,17
sir h. james,year,1800,17
sir h. james,franchise,1800,16
sir h. james,men,1800,16
sir h. james,class,1800,15
sir h. james,country,1800,15
sir h. james,agent,1800,14
sir h. james,registration,1800,14
sir h. james,introduced,1800,13
sir h. james,voters,1800,13
sir h. james,5,1800,12
sir h. james,agents,1800,12
sir h. james,majority,1800,11
the chancellor of the exchequer,gent,1800,653
the chancellor of the exchequer,time,1800,319
the chancellor of the exchequer,evidence,1800,302
the chancellor of the exchequer,country,1800,264
the chancellor of the exchequer,public,1800,247
the chancellor of the exchequer,duty,1800,177
the chancellor of the exchequer,circumstances,1800,173
the chancellor of the exchequer,war,1800,164
the chancellor of the exchequer,year,1800,160
the chancellor of the exchequer,conduct,1800,141
the chancellor of the exchequer,000,1800,138
the chancellor of the exchequer,charge,1800,133
the chancellor of the exchequer,forward,1800,129
the chancellor of the exchequer,spain,1800,129
the chancellor of the exchequer,col,1800,128
the chancellor of the exchequer,letter,1800,127
the chancellor of the exchequer,parliament,1800,125
the chancellor of the exchequer,note,1800,116
the chancellor of the exchequer,ireland,1800,111
the chancellor of the exchequer,purpose,1800,108
mr. sheridan,gent,1800,122
mr. sheridan,country,1800,88
mr. sheridan,men,1800,64
mr. sheridan,time,1800,36
mr. sheridan,administration,1800,34
mr. sheridan,evidence,1800,31
mr. sheridan,force,1800,31
mr. sheridan,conduct,1800,29
mr. sheridan,army,1800,27
mr. sheridan,ministers,1800,25
mr. sheridan,people,1800,25
mr. sheridan,public,1800,25
mr. sheridan,government,1800,24
mr. sheridan,former,1800,23
mr. sheridan,character,1800,21
mr. sheridan,petition,1800,21
mr. sheridan,war,1800,21
mr. sheridan,naval,1800,20
mr. sheridan,power,1800,20
mr. sheridan,parliament,1800,19
lord henry petty,expedition,1800,53
lord henry petty,country,1800,52
lord henry petty,army,1800,48
lord henry petty,portugal,1800,47
lord henry petty,time,1800,32
lord henry petty,spain,1800,31
lord henry petty,wellesley,1800,31
lord henry petty,public,1800,29
lord henry petty,cavalry,1800,28
lord henry petty,ireland,1800,27
lord henry petty,inquiry,1800,24
lord henry petty,ministers,1800,22
lord henry petty,convention,1800,21
lord henry petty,french,1800,19
