year,debates_per_year,keywords,words_per_year,proportion
1804,4,croft,168,0.023809523809523808
1805,1,croft,46,0.021739130434782608
1807,1,croft,59,0.01694915254237288
1808,1,croft,111,0.009009009009009009
1809,1,croft,196,0.00510204081632653
1810,1,croft,69,0.014492753623188406
1811,2,croft,211,0.009478672985781991
1812,1,croft,251,0.00398406374501992
1815,8,croft,247,0.032388663967611336
1817,1,croft,223,0.004484304932735426
1818,1,croft,160,0.00625
1820,2,croft,219,0.0091324200913242
1822,1,croft,189,0.005291005291005291
1823,3,croft,226,0.01327433628318584
1826,2,croft,223,0.008968609865470852
1828,3,croft,221,0.013574660633484163
1830,4,croft,717,0.005578800557880056
1831,6,croft,932,0.006437768240343348
1832,4,croft,630,0.006349206349206349
1833,4,croft,519,0.007707129094412331
1834,8,croft,483,0.016563146997929608
1835,3,croft,627,0.004784688995215311
1836,10,croft,604,0.016556291390728478
1837,5,croft,497,0.01006036217303823
1838,5,croft,373,0.013404825737265416
1839,3,croft,517,0.005802707930367505
1840,2,croft,469,0.0042643923240938165
1841,5,croft,528,0.00946969696969697
1842,6,croft,811,0.007398273736128237
1843,8,croft,624,0.01282051282051282
1844,6,croft,290,0.020689655172413793
1845,16,croft,636,0.025157232704402517
1846,11,croft,597,0.018425460636515914
1847,10,croft,794,0.012594458438287154
1848,9,croft,438,0.02054794520547945
1849,10,croft,487,0.02053388090349076
1850,14,croft,535,0.026168224299065422
1851,6,croft,283,0.02120141342756184
1852,12,croft,579,0.02072538860103627
1853,11,croft,555,0.01981981981981982
1854,14,croft,667,0.020989505247376312
1855,4,croft,764,0.005235602094240838
1856,10,croft,846,0.01182033096926714
1857,1,croft,724,0.0013812154696132596
1858,6,croft,610,0.009836065573770493
1859,5,croft,377,0.013262599469496022
1860,12,croft,580,0.020689655172413793
1861,3,croft,576,0.005208333333333333
1862,2,croft,449,0.004454342984409799
1863,1,croft,589,0.001697792869269949
1864,1,croft,439,0.002277904328018223
1865,5,croft,528,0.00946969696969697
1866,2,croft,419,0.00477326968973747
1867,3,croft,717,0.0041841004184100415
1868,1,croft,481,0.002079002079002079
1869,8,croft,631,0.012678288431061807
1870,2,croft,684,0.0029239766081871343
1871,6,croft,792,0.007575757575757576
1872,1,croft,607,0.0016474464579901153
1873,5,croft,746,0.006702412868632708
1874,1,croft,495,0.00202020202020202
1875,5,croft,865,0.005780346820809248
1876,8,croft,933,0.00857449088960343
1877,1,croft,893,0.0011198208286674132
1878,6,croft,945,0.006349206349206349
1879,3,croft,846,0.0035460992907801418
1880,14,croft,1264,0.011075949367088608
1881,78,croft,1629,0.04788213627992634
1882,151,croft,1477,0.10223425863236289
1883,30,croft,2947,0.01017984390906006
1884,14,croft,2168,0.006457564575645757
1885,12,croft,1549,0.007746933505487412
1886,36,croft,2811,0.012806830309498399
1887,53,croft,4399,0.012048192771084338
1888,51,croft,4589,0.011113532359991284
1889,48,croft,2889,0.016614745586708203
1890,30,croft,3259,0.009205277692543725
1891,5,croft,810,0.006172839506172839
1892,20,croft,2028,0.009861932938856016
1893,15,croft,2045,0.007334963325183374
1894,25,croft,2158,0.011584800741427247
1895,30,croft,2934,0.010224948875255624
1896,83,croft,3517,0.023599658800113735
1897,51,croft,2867,0.0177886292291594
1898,39,croft,2951,0.013215859030837005
1899,33,croft,2470,0.013360323886639677
1900,49,croft,4199,0.011669445105977614
1901,55,croft,3443,0.01597444089456869
1902,88,croft,5941,0.0148123211580542
1903,23,croft,2221,0.010355695632597929
1904,143,croft,3296,0.04338592233009709
1905,187,croft,3447,0.054250072526834926
1906,267,croft,5193,0.05141536683997689
1907,168,croft,4386,0.038303693570451436
1908,232,croft,5474,0.04238217025940811
1909,318,croft,6443,0.04935589011330126
1910,227,croft,5008,0.04532747603833866
1804,4,ejectment,168,0.023809523809523808
1805,1,ejectment,46,0.021739130434782608
1807,1,ejectment,59,0.01694915254237288
1808,1,ejectment,111,0.009009009009009009
1809,1,ejectment,196,0.00510204081632653
1810,1,ejectment,69,0.014492753623188406
1811,2,ejectment,211,0.009478672985781991
1812,1,ejectment,251,0.00398406374501992
1815,8,ejectment,247,0.032388663967611336
1817,1,ejectment,223,0.004484304932735426
1818,1,ejectment,160,0.00625
1820,2,ejectment,219,0.0091324200913242
1822,1,ejectment,189,0.005291005291005291
1823,3,ejectment,226,0.01327433628318584
1826,2,ejectment,223,0.008968609865470852
1828,3,ejectment,221,0.013574660633484163
1830,4,ejectment,717,0.005578800557880056
1831,6,ejectment,932,0.006437768240343348
1832,4,ejectment,630,0.006349206349206349
1833,4,ejectment,519,0.007707129094412331
1834,8,ejectment,483,0.016563146997929608
1835,3,ejectment,627,0.004784688995215311
1836,10,ejectment,604,0.016556291390728478
1837,5,ejectment,497,0.01006036217303823
1838,5,ejectment,373,0.013404825737265416
1839,3,ejectment,517,0.005802707930367505
1840,2,ejectment,469,0.0042643923240938165
1841,5,ejectment,528,0.00946969696969697
1842,6,ejectment,811,0.007398273736128237
1843,8,ejectment,624,0.01282051282051282
1844,6,ejectment,290,0.020689655172413793
1845,16,ejectment,636,0.025157232704402517
1846,11,ejectment,597,0.018425460636515914
1847,10,ejectment,794,0.012594458438287154
1848,9,ejectment,438,0.02054794520547945
1849,10,ejectment,487,0.02053388090349076
1850,14,ejectment,535,0.026168224299065422
1851,6,ejectment,283,0.02120141342756184
1852,12,ejectment,579,0.02072538860103627
1853,11,ejectment,555,0.01981981981981982
1854,14,ejectment,667,0.020989505247376312
1855,4,ejectment,764,0.005235602094240838
1856,10,ejectment,846,0.01182033096926714
1857,1,ejectment,724,0.0013812154696132596
1858,6,ejectment,610,0.009836065573770493
1859,5,ejectment,377,0.013262599469496022
1860,12,ejectment,580,0.020689655172413793
1861,3,ejectment,576,0.005208333333333333
1862,2,ejectment,449,0.004454342984409799
1863,1,ejectment,589,0.001697792869269949
1864,1,ejectment,439,0.002277904328018223
1865,5,ejectment,528,0.00946969696969697
1866,2,ejectment,419,0.00477326968973747
1867,3,ejectment,717,0.0041841004184100415
1868,1,ejectment,481,0.002079002079002079
1869,8,ejectment,631,0.012678288431061807
1870,2,ejectment,684,0.0029239766081871343
1871,6,ejectment,792,0.007575757575757576
1872,1,ejectment,607,0.0016474464579901153
1873,5,ejectment,746,0.006702412868632708
1874,1,ejectment,495,0.00202020202020202
1875,5,ejectment,865,0.005780346820809248
1876,8,ejectment,933,0.00857449088960343
1877,1,ejectment,893,0.0011198208286674132
1878,6,ejectment,945,0.006349206349206349
1879,3,ejectment,846,0.0035460992907801418
1880,14,ejectment,1264,0.011075949367088608
1881,78,ejectment,1629,0.04788213627992634
1882,151,ejectment,1477,0.10223425863236289
1883,30,ejectment,2947,0.01017984390906006
1884,14,ejectment,2168,0.006457564575645757
1885,12,ejectment,1549,0.007746933505487412
1886,36,ejectment,2811,0.012806830309498399
1887,53,ejectment,4399,0.012048192771084338
1888,51,ejectment,4589,0.011113532359991284
1889,48,ejectment,2889,0.016614745586708203
1890,30,ejectment,3259,0.009205277692543725
1891,5,ejectment,810,0.006172839506172839
1892,20,ejectment,2028,0.009861932938856016
1893,15,ejectment,2045,0.007334963325183374
1894,25,ejectment,2158,0.011584800741427247
1895,30,ejectment,2934,0.010224948875255624
1896,83,ejectment,3517,0.023599658800113735
1897,51,ejectment,2867,0.0177886292291594
1898,39,ejectment,2951,0.013215859030837005
1899,33,ejectment,2470,0.013360323886639677
1900,49,ejectment,4199,0.011669445105977614
1901,55,ejectment,3443,0.01597444089456869
1902,88,ejectment,5941,0.0148123211580542
1903,23,ejectment,2221,0.010355695632597929
1904,143,ejectment,3296,0.04338592233009709
1905,187,ejectment,3447,0.054250072526834926
1906,267,ejectment,5193,0.05141536683997689
1907,168,ejectment,4386,0.038303693570451436
1908,232,ejectment,5474,0.04238217025940811
1909,318,ejectment,6443,0.04935589011330126
1910,227,ejectment,5008,0.04532747603833866
1804,4,enclosure,168,0.023809523809523808
1805,1,enclosure,46,0.021739130434782608
1807,1,enclosure,59,0.01694915254237288
1808,1,enclosure,111,0.009009009009009009
1809,1,enclosure,196,0.00510204081632653
1810,1,enclosure,69,0.014492753623188406
1811,2,enclosure,211,0.009478672985781991
1812,1,enclosure,251,0.00398406374501992
1815,8,enclosure,247,0.032388663967611336
1817,1,enclosure,223,0.004484304932735426
1818,1,enclosure,160,0.00625
1820,2,enclosure,219,0.0091324200913242
1822,1,enclosure,189,0.005291005291005291
1823,3,enclosure,226,0.01327433628318584
1826,2,enclosure,223,0.008968609865470852
1828,3,enclosure,221,0.013574660633484163
1830,4,enclosure,717,0.005578800557880056
1831,6,enclosure,932,0.006437768240343348
1832,4,enclosure,630,0.006349206349206349
1833,4,enclosure,519,0.007707129094412331
1834,8,enclosure,483,0.016563146997929608
1835,3,enclosure,627,0.004784688995215311
1836,10,enclosure,604,0.016556291390728478
1837,5,enclosure,497,0.01006036217303823
1838,5,enclosure,373,0.013404825737265416
1839,3,enclosure,517,0.005802707930367505
1840,2,enclosure,469,0.0042643923240938165
1841,5,enclosure,528,0.00946969696969697
1842,6,enclosure,811,0.007398273736128237
1843,8,enclosure,624,0.01282051282051282
1844,6,enclosure,290,0.020689655172413793
1845,16,enclosure,636,0.025157232704402517
1846,11,enclosure,597,0.018425460636515914
1847,10,enclosure,794,0.012594458438287154
1848,9,enclosure,438,0.02054794520547945
1849,10,enclosure,487,0.02053388090349076
1850,14,enclosure,535,0.026168224299065422
1851,6,enclosure,283,0.02120141342756184
1852,12,enclosure,579,0.02072538860103627
1853,11,enclosure,555,0.01981981981981982
1854,14,enclosure,667,0.020989505247376312
1855,4,enclosure,764,0.005235602094240838
1856,10,enclosure,846,0.01182033096926714
1857,1,enclosure,724,0.0013812154696132596
1858,6,enclosure,610,0.009836065573770493
1859,5,enclosure,377,0.013262599469496022
1860,12,enclosure,580,0.020689655172413793
1861,3,enclosure,576,0.005208333333333333
1862,2,enclosure,449,0.004454342984409799
1863,1,enclosure,589,0.001697792869269949
1864,1,enclosure,439,0.002277904328018223
1865,5,enclosure,528,0.00946969696969697
1866,2,enclosure,419,0.00477326968973747
1867,3,enclosure,717,0.0041841004184100415
1868,1,enclosure,481,0.002079002079002079
1869,8,enclosure,631,0.012678288431061807
1870,2,enclosure,684,0.0029239766081871343
1871,6,enclosure,792,0.007575757575757576
1872,1,enclosure,607,0.0016474464579901153
1873,5,enclosure,746,0.006702412868632708
1874,1,enclosure,495,0.00202020202020202
1875,5,enclosure,865,0.005780346820809248
1876,8,enclosure,933,0.00857449088960343
1877,1,enclosure,893,0.0011198208286674132
1878,6,enclosure,945,0.006349206349206349
1879,3,enclosure,846,0.0035460992907801418
1880,14,enclosure,1264,0.011075949367088608
1881,78,enclosure,1629,0.04788213627992634
1882,151,enclosure,1477,0.10223425863236289
1883,30,enclosure,2947,0.01017984390906006
1884,14,enclosure,2168,0.006457564575645757
1885,12,enclosure,1549,0.007746933505487412
1886,36,enclosure,2811,0.012806830309498399
1887,53,enclosure,4399,0.012048192771084338
1888,51,enclosure,4589,0.011113532359991284
1889,48,enclosure,2889,0.016614745586708203
1890,30,enclosure,3259,0.009205277692543725
1891,5,enclosure,810,0.006172839506172839
1892,20,enclosure,2028,0.009861932938856016
1893,15,enclosure,2045,0.007334963325183374
1894,25,enclosure,2158,0.011584800741427247
1895,30,enclosure,2934,0.010224948875255624
1896,83,enclosure,3517,0.023599658800113735
1897,51,enclosure,2867,0.0177886292291594
1898,39,enclosure,2951,0.013215859030837005
1899,33,enclosure,2470,0.013360323886639677
1900,49,enclosure,4199,0.011669445105977614
1901,55,enclosure,3443,0.01597444089456869
1902,88,enclosure,5941,0.0148123211580542
1903,23,enclosure,2221,0.010355695632597929
1904,143,enclosure,3296,0.04338592233009709
1905,187,enclosure,3447,0.054250072526834926
1906,267,enclosure,5193,0.05141536683997689
1907,168,enclosure,4386,0.038303693570451436
1908,232,enclosure,5474,0.04238217025940811
1909,318,enclosure,6443,0.04935589011330126
1910,227,enclosure,5008,0.04532747603833866
1804,4,estate,168,0.023809523809523808
1805,1,estate,46,0.021739130434782608
1807,1,estate,59,0.01694915254237288
1808,1,estate,111,0.009009009009009009
1809,1,estate,196,0.00510204081632653
1810,1,estate,69,0.014492753623188406
1811,2,estate,211,0.009478672985781991
1812,1,estate,251,0.00398406374501992
1815,8,estate,247,0.032388663967611336
1817,1,estate,223,0.004484304932735426
1818,1,estate,160,0.00625
1820,2,estate,219,0.0091324200913242
1822,1,estate,189,0.005291005291005291
1823,3,estate,226,0.01327433628318584
1826,2,estate,223,0.008968609865470852
1828,3,estate,221,0.013574660633484163
1830,4,estate,717,0.005578800557880056
1831,6,estate,932,0.006437768240343348
1832,4,estate,630,0.006349206349206349
1833,4,estate,519,0.007707129094412331
1834,8,estate,483,0.016563146997929608
1835,3,estate,627,0.004784688995215311
1836,10,estate,604,0.016556291390728478
1837,5,estate,497,0.01006036217303823
1838,5,estate,373,0.013404825737265416
1839,3,estate,517,0.005802707930367505
1840,2,estate,469,0.0042643923240938165
1841,5,estate,528,0.00946969696969697
1842,6,estate,811,0.007398273736128237
1843,8,estate,624,0.01282051282051282
1844,6,estate,290,0.020689655172413793
1845,16,estate,636,0.025157232704402517
1846,11,estate,597,0.018425460636515914
1847,10,estate,794,0.012594458438287154
1848,9,estate,438,0.02054794520547945
