year,debates_per_year,keywords,words_per_year,proportion
1804,6,manufacturing,168,0.03571428571428571
1805,1,manufacturing,46,0.021739130434782608
1808,7,manufacturing,111,0.06306306306306306
1809,4,manufacturing,196,0.02040816326530612
1810,2,manufacturing,69,0.028985507246376812
1811,3,manufacturing,211,0.014218009478672985
1812,3,manufacturing,251,0.01195219123505976
1813,1,manufacturing,105,0.009523809523809525
1814,8,manufacturing,136,0.058823529411764705
1815,10,manufacturing,247,0.04048582995951417
1817,1,manufacturing,223,0.004484304932735426
1818,3,manufacturing,160,0.01875
1819,9,manufacturing,378,0.023809523809523808
1820,2,manufacturing,219,0.0091324200913242
1821,1,manufacturing,195,0.005128205128205128
1822,2,manufacturing,189,0.010582010582010581
1823,3,manufacturing,226,0.01327433628318584
1824,4,manufacturing,313,0.012779552715654952
1825,4,manufacturing,118,0.03389830508474576
1826,22,manufacturing,223,0.09865470852017937
1827,7,manufacturing,60,0.11666666666666667
1828,9,manufacturing,221,0.04072398190045249
1830,10,manufacturing,717,0.01394700139470014
1831,14,manufacturing,932,0.015021459227467811
1832,4,manufacturing,630,0.006349206349206349
1833,9,manufacturing,519,0.017341040462427744
1834,9,manufacturing,483,0.018633540372670808
1835,6,manufacturing,627,0.009569377990430622
1836,8,manufacturing,604,0.013245033112582781
1837,7,manufacturing,497,0.014084507042253521
1838,6,manufacturing,373,0.0160857908847185
1839,21,manufacturing,517,0.04061895551257253
1840,6,manufacturing,469,0.01279317697228145
1841,31,manufacturing,528,0.058712121212121215
1842,60,manufacturing,811,0.07398273736128237
1843,25,manufacturing,624,0.04006410256410257
1844,5,manufacturing,290,0.017241379310344827
1845,12,manufacturing,636,0.018867924528301886
1846,37,manufacturing,597,0.06197654941373534
1847,26,manufacturing,794,0.0327455919395466
1848,15,manufacturing,438,0.03424657534246575
1849,1,manufacturing,487,0.002053388090349076
1850,7,manufacturing,535,0.013084112149532711
1851,5,manufacturing,283,0.0176678445229682
1852,4,manufacturing,579,0.0069084628670120895
1853,1,manufacturing,555,0.0018018018018018018
1854,4,manufacturing,667,0.005997001499250375
1855,3,manufacturing,764,0.003926701570680628
1857,1,manufacturing,724,0.0013812154696132596
1858,1,manufacturing,610,0.001639344262295082
1859,1,manufacturing,377,0.002652519893899204
1861,3,manufacturing,576,0.005208333333333333
1862,2,manufacturing,449,0.004454342984409799
1863,6,manufacturing,589,0.010186757215619695
1864,4,manufacturing,439,0.009111617312072893
1865,5,manufacturing,528,0.00946969696969697
1866,2,manufacturing,419,0.00477326968973747
1867,5,manufacturing,717,0.00697350069735007
1869,8,manufacturing,631,0.012678288431061807
1870,2,manufacturing,684,0.0029239766081871343
1871,1,manufacturing,792,0.0012626262626262627
1872,2,manufacturing,607,0.0032948929159802307
1873,5,manufacturing,746,0.006702412868632708
1874,5,manufacturing,495,0.010101010101010102
1875,7,manufacturing,865,0.008092485549132947
1876,7,manufacturing,933,0.007502679528403001
1877,4,manufacturing,893,0.004479283314669653
1878,13,manufacturing,945,0.013756613756613757
1879,10,manufacturing,846,0.01182033096926714
1880,20,manufacturing,1264,0.015822784810126583
1881,10,manufacturing,1629,0.006138735420503376
1882,9,manufacturing,1477,0.006093432633716994
1883,31,manufacturing,2947,0.010519172039362062
1884,19,manufacturing,2168,0.008763837638376383
1885,21,manufacturing,1549,0.01355713363460297
1886,41,manufacturing,2811,0.014585556741373178
1887,74,manufacturing,4399,0.016822005001136623
1888,65,manufacturing,4589,0.014164305949008499
1889,55,manufacturing,2889,0.01903772931810315
1890,36,manufacturing,3259,0.01104633323105247
1891,7,manufacturing,810,0.008641975308641974
1892,15,manufacturing,2028,0.0073964497041420114
1893,19,manufacturing,2045,0.009290953545232274
1894,18,manufacturing,2158,0.008341056533827619
1895,51,manufacturing,2934,0.017382413087934562
1896,39,manufacturing,3517,0.011088996303667898
1897,29,manufacturing,2867,0.010115102895012208
1898,28,manufacturing,2951,0.009488309047780414
1899,43,manufacturing,2470,0.017408906882591092
1900,28,manufacturing,4199,0.006668254346272922
1901,49,manufacturing,3443,0.014231774615161197
1902,79,manufacturing,5941,0.013297424675980475
1903,66,manufacturing,2221,0.029716343989194056
1904,69,manufacturing,3296,0.020934466019417477
1905,75,manufacturing,3447,0.02175805047867711
1906,99,manufacturing,5193,0.019064124783362217
1907,118,manufacturing,4386,0.026903784769721842
1908,71,manufacturing,5474,0.012970405553525757
1909,105,manufacturing,6443,0.016296756169486264
1910,110,manufacturing,5008,0.02196485623003195
1804,6,sugar,168,0.03571428571428571
1805,1,sugar,46,0.021739130434782608
1808,7,sugar,111,0.06306306306306306
1809,4,sugar,196,0.02040816326530612
1810,2,sugar,69,0.028985507246376812
1811,3,sugar,211,0.014218009478672985
1812,3,sugar,251,0.01195219123505976
1813,1,sugar,105,0.009523809523809525
