year,debates_per_year,keywords,words_per_year,proportion
1804,1,road,168,0.005952380952380952
1807,3,road,59,0.05084745762711865
1811,2,road,211,0.009478672985781991
1815,1,road,247,0.004048582995951417
1819,1,road,378,0.0026455026455026454
1820,1,road,219,0.0045662100456621
1823,1,road,226,0.004424778761061947
1824,2,road,313,0.006389776357827476
1825,1,road,118,0.00847457627118644
1826,2,road,223,0.008968609865470852
1830,4,road,717,0.005578800557880056
1831,1,road,932,0.001072961373390558
1833,2,road,519,0.0038535645472061657
1834,3,road,483,0.006211180124223602
1835,4,road,627,0.006379585326953748
1836,11,road,604,0.018211920529801324
1837,5,road,497,0.01006036217303823
1838,1,road,373,0.002680965147453083
1839,8,road,517,0.015473887814313346
1840,3,road,469,0.006396588486140725
1841,5,road,528,0.00946969696969697
1842,5,road,811,0.006165228113440197
1843,2,road,624,0.003205128205128205
1844,1,road,290,0.0034482758620689655
1845,47,road,636,0.07389937106918239
1846,27,road,597,0.04522613065326633
1847,18,road,794,0.022670025188916875
1848,11,road,438,0.02511415525114155
1849,13,road,487,0.026694045174537988
1850,24,road,535,0.044859813084112146
1851,5,road,283,0.0176678445229682
1852,9,road,579,0.015544041450777202
1853,7,road,555,0.012612612612612612
1854,13,road,667,0.019490254872563718
1855,13,road,764,0.017015706806282723
1856,6,road,846,0.0070921985815602835
1857,4,road,724,0.0055248618784530384
1858,7,road,610,0.011475409836065573
1860,6,road,580,0.010344827586206896
1861,11,road,576,0.019097222222222224
1862,9,road,449,0.0200445434298441
1863,12,road,589,0.02037351443123939
1864,6,road,439,0.01366742596810934
1865,9,road,528,0.017045454545454544
1866,7,road,419,0.016706443914081145
1867,17,road,717,0.023709902370990237
1868,5,road,481,0.010395010395010396
1869,6,road,631,0.009508716323296355
1870,4,road,684,0.005847953216374269
1871,8,road,792,0.010101010101010102
1872,1,road,607,0.0016474464579901153
1873,15,road,746,0.020107238605898123
1874,7,road,495,0.014141414141414142
1875,13,road,865,0.015028901734104046
1876,11,road,933,0.011789924973204717
1877,7,road,893,0.007838745800671893
1878,10,road,945,0.010582010582010581
1879,14,road,846,0.016548463356973995
1880,18,road,1264,0.014240506329113924
1881,18,road,1629,0.011049723756906077
1882,10,road,1477,0.006770480704129994
1883,37,road,2947,0.012555140821174076
1884,26,road,2168,0.011992619926199263
1885,29,road,1549,0.01872175597159458
1886,46,road,2811,0.016364283173247954
1887,85,road,4399,0.01932257331211639
1888,46,road,4589,0.010023970363913707
1889,53,road,2889,0.018345448251990307
1890,59,road,3259,0.018103712795335992
1891,20,road,810,0.024691358024691357
1892,56,road,2028,0.027613412228796843
1893,73,road,2045,0.03569682151589242
1894,76,road,2158,0.03521779425393883
1895,107,road,2934,0.03646898432174506
1896,143,road,3517,0.04065965311344896
1897,101,road,2867,0.035228461806766656
1898,86,road,2951,0.029142663503896982
1899,90,road,2470,0.03643724696356275
1900,125,road,4199,0.02976899261728983
1901,98,road,3443,0.028463549230322394
1902,184,road,5941,0.0309712169668406
1903,76,road,2221,0.034218820351193155
1904,85,road,3296,0.02578883495145631
1905,75,road,3447,0.02175805047867711
1906,130,road,5193,0.02503369921047564
1907,101,road,4386,0.02302781577747378
1908,87,road,5474,0.015893313847278042
1909,172,road,6443,0.026695638677634644
1910,115,road,5008,0.022963258785942492
1804,1,transport,168,0.005952380952380952
1807,3,transport,59,0.05084745762711865
1811,2,transport,211,0.009478672985781991
1815,1,transport,247,0.004048582995951417
1819,1,transport,378,0.0026455026455026454
1820,1,transport,219,0.0045662100456621
1823,1,transport,226,0.004424778761061947
1824,2,transport,313,0.006389776357827476
1825,1,transport,118,0.00847457627118644
1826,2,transport,223,0.008968609865470852
1830,4,transport,717,0.005578800557880056
1831,1,transport,932,0.001072961373390558
1833,2,transport,519,0.0038535645472061657
1834,3,transport,483,0.006211180124223602
1835,4,transport,627,0.006379585326953748
1836,11,transport,604,0.018211920529801324
1837,5,transport,497,0.01006036217303823
1838,1,transport,373,0.002680965147453083
1839,8,transport,517,0.015473887814313346
1840,3,transport,469,0.006396588486140725
1841,5,transport,528,0.00946969696969697
1842,5,transport,811,0.006165228113440197
1843,2,transport,624,0.003205128205128205
1844,1,transport,290,0.0034482758620689655
1845,47,transport,636,0.07389937106918239
1846,27,transport,597,0.04522613065326633
1847,18,transport,794,0.022670025188916875
1848,11,transport,438,0.02511415525114155
1849,13,transport,487,0.026694045174537988
1850,24,transport,535,0.044859813084112146
1851,5,transport,283,0.0176678445229682
1852,9,transport,579,0.015544041450777202
1853,7,transport,555,0.012612612612612612
1854,13,transport,667,0.019490254872563718
1855,13,transport,764,0.017015706806282723
1856,6,transport,846,0.0070921985815602835
1857,4,transport,724,0.0055248618784530384
1858,7,transport,610,0.011475409836065573
1860,6,transport,580,0.010344827586206896
1861,11,transport,576,0.019097222222222224
1862,9,transport,449,0.0200445434298441
1863,12,transport,589,0.02037351443123939
1864,6,transport,439,0.01366742596810934
1865,9,transport,528,0.017045454545454544
1866,7,transport,419,0.016706443914081145
1867,17,transport,717,0.023709902370990237
1868,5,transport,481,0.010395010395010396
1869,6,transport,631,0.009508716323296355
1870,4,transport,684,0.005847953216374269
1871,8,transport,792,0.010101010101010102
1872,1,transport,607,0.0016474464579901153
1873,15,transport,746,0.020107238605898123
1874,7,transport,495,0.014141414141414142
1875,13,transport,865,0.015028901734104046
1876,11,transport,933,0.011789924973204717
1877,7,transport,893,0.007838745800671893
1878,10,transport,945,0.010582010582010581
1879,14,transport,846,0.016548463356973995
1880,18,transport,1264,0.014240506329113924
1881,18,transport,1629,0.011049723756906077
1882,10,transport,1477,0.006770480704129994
1883,37,transport,2947,0.012555140821174076
1884,26,transport,2168,0.011992619926199263
1885,29,transport,1549,0.01872175597159458
1886,46,transport,2811,0.016364283173247954
1887,85,transport,4399,0.01932257331211639
1888,46,transport,4589,0.010023970363913707
1889,53,transport,2889,0.018345448251990307
1890,59,transport,3259,0.018103712795335992
1891,20,transport,810,0.024691358024691357
1892,56,transport,2028,0.027613412228796843
1893,73,transport,2045,0.03569682151589242
1894,76,transport,2158,0.03521779425393883
1895,107,transport,2934,0.03646898432174506
1896,143,transport,3517,0.04065965311344896
1897,101,transport,2867,0.035228461806766656
1898,86,transport,2951,0.029142663503896982
1899,90,transport,2470,0.03643724696356275
1900,125,transport,4199,0.02976899261728983
1901,98,transport,3443,0.028463549230322394
1902,184,transport,5941,0.0309712169668406
1903,76,transport,2221,0.034218820351193155
1904,85,transport,3296,0.02578883495145631
1905,75,transport,3447,0.02175805047867711
1906,130,transport,5193,0.02503369921047564
1907,101,transport,4386,0.02302781577747378
1908,87,transport,5474,0.015893313847278042
1909,172,transport,6443,0.026695638677634644
1910,115,transport,5008,0.022963258785942492
1804,1,railway,168,0.005952380952380952
1807,3,railway,59,0.05084745762711865
1811,2,railway,211,0.009478672985781991
1815,1,railway,247,0.004048582995951417
1819,1,railway,378,0.0026455026455026454
1820,1,railway,219,0.0045662100456621
1823,1,railway,226,0.004424778761061947
1824,2,railway,313,0.006389776357827476
1825,1,railway,118,0.00847457627118644
1826,2,railway,223,0.008968609865470852
1830,4,railway,717,0.005578800557880056
1831,1,railway,932,0.001072961373390558
1833,2,railway,519,0.0038535645472061657
1834,3,railway,483,0.006211180124223602
1835,4,railway,627,0.006379585326953748
1836,11,railway,604,0.018211920529801324
1837,5,railway,497,0.01006036217303823
1838,1,railway,373,0.002680965147453083
1839,8,railway,517,0.015473887814313346
1840,3,railway,469,0.006396588486140725
1841,5,railway,528,0.00946969696969697
1842,5,railway,811,0.006165228113440197
1843,2,railway,624,0.003205128205128205
1844,1,railway,290,0.0034482758620689655
1845,47,railway,636,0.07389937106918239
1846,27,railway,597,0.04522613065326633
1847,18,railway,794,0.022670025188916875
1848,11,railway,438,0.02511415525114155
1849,13,railway,487,0.026694045174537988
1850,24,railway,535,0.044859813084112146
1851,5,railway,283,0.0176678445229682
1852,9,railway,579,0.015544041450777202
1853,7,railway,555,0.012612612612612612
1854,13,railway,667,0.019490254872563718
1855,13,railway,764,0.017015706806282723
1856,6,railway,846,0.0070921985815602835
1857,4,railway,724,0.0055248618784530384
1858,7,railway,610,0.011475409836065573
1860,6,railway,580,0.010344827586206896
1861,11,railway,576,0.019097222222222224
1862,9,railway,449,0.0200445434298441
1863,12,railway,589,0.02037351443123939
1864,6,railway,439,0.01366742596810934
1865,9,railway,528,0.017045454545454544
1866,7,railway,419,0.016706443914081145
1867,17,railway,717,0.023709902370990237
1868,5,railway,481,0.010395010395010396
1869,6,railway,631,0.009508716323296355
1870,4,railway,684,0.005847953216374269
1871,8,railway,792,0.010101010101010102
1872,1,railway,607,0.0016474464579901153
1873,15,railway,746,0.020107238605898123
1874,7,railway,495,0.014141414141414142
1875,13,railway,865,0.015028901734104046
1876,11,railway,933,0.011789924973204717
1877,7,railway,893,0.007838745800671893
1878,10,railway,945,0.010582010582010581
1879,14,railway,846,0.016548463356973995
1880,18,railway,1264,0.014240506329113924
1881,18,railway,1629,0.011049723756906077
1882,10,railway,1477,0.006770480704129994
1883,37,railway,2947,0.012555140821174076
1884,26,railway,2168,0.011992619926199263
1885,29,railway,1549,0.01872175597159458
1886,46,railway,2811,0.016364283173247954
1887,85,railway,4399,0.01932257331211639
1888,46,railway,4589,0.010023970363913707
1889,53,railway,2889,0.018345448251990307
1890,59,railway,3259,0.018103712795335992
1891,20,railway,810,0.024691358024691357
1892,56,railway,2028,0.027613412228796843
1893,73,railway,2045,0.03569682151589242
1894,76,railway,2158,0.03521779425393883
1895,107,railway,2934,0.03646898432174506
1896,143,railway,3517,0.04065965311344896
1897,101,railway,2867,0.035228461806766656
1898,86,railway,2951,0.029142663503896982
1899,90,railway,2470,0.03643724696356275
1900,125,railway,4199,0.02976899261728983
1901,98,railway,3443,0.028463549230322394
1902,184,railway,5941,0.0309712169668406
1903,76,railway,2221,0.034218820351193155
1904,85,railway,3296,0.02578883495145631
1905,75,railway,3447,0.02175805047867711
1906,130,railway,5193,0.02503369921047564
1907,101,railway,4386,0.02302781577747378
1908,87,railway,5474,0.015893313847278042
1909,172,railway,6443,0.026695638677634644
1910,115,railway,5008,0.022963258785942492
1804,1,shipments,168,0.005952380952380952
1807,3,shipments,59,0.05084745762711865
1811,2,shipments,211,0.009478672985781991
1815,1,shipments,247,0.004048582995951417
1819,1,shipments,378,0.0026455026455026454
1820,1,shipments,219,0.0045662100456621
1823,1,shipments,226,0.004424778761061947
1824,2,shipments,313,0.006389776357827476
1825,1,shipments,118,0.00847457627118644
1826,2,shipments,223,0.008968609865470852
1830,4,shipments,717,0.005578800557880056
1831,1,shipments,932,0.001072961373390558
1833,2,shipments,519,0.0038535645472061657
1834,3,shipments,483,0.006211180124223602
1835,4,shipments,627,0.006379585326953748
1836,11,shipments,604,0.018211920529801324
1837,5,shipments,497,0.01006036217303823
1838,1,shipments,373,0.002680965147453083
1839,8,shipments,517,0.015473887814313346
1840,3,shipments,469,0.006396588486140725
1841,5,shipments,528,0.00946969696969697
1842,5,shipments,811,0.006165228113440197
1843,2,shipments,624,0.003205128205128205
1844,1,shipments,290,0.0034482758620689655
1845,47,shipments,636,0.07389937106918239
1846,27,shipments,597,0.04522613065326633
1847,18,shipments,794,0.022670025188916875
1848,11,shipments,438,0.02511415525114155
1849,13,shipments,487,0.026694045174537988
1850,24,shipments,535,0.044859813084112146
1851,5,shipments,283,0.0176678445229682
1852,9,shipments,579,0.015544041450777202
1853,7,shipments,555,0.012612612612612612
1854,13,shipments,667,0.019490254872563718
1855,13,shipments,764,0.017015706806282723
1856,6,shipments,846,0.0070921985815602835
1857,4,shipments,724,0.0055248618784530384
1858,7,shipments,610,0.011475409836065573
1860,6,shipments,580,0.010344827586206896
1861,11,shipments,576,0.019097222222222224
1862,9,shipments,449,0.0200445434298441
1863,12,shipments,589,0.02037351443123939
1864,6,shipments,439,0.01366742596810934
1865,9,shipments,528,0.017045454545454544
1866,7,shipments,419,0.016706443914081145
1867,17,shipments,717,0.023709902370990237
1868,5,shipments,481,0.010395010395010396
1869,6,shipments,631,0.009508716323296355
1870,4,shipments,684,0.005847953216374269
1871,8,shipments,792,0.010101010101010102
1872,1,shipments,607,0.0016474464579901153
1873,15,shipments,746,0.020107238605898123
1874,7,shipments,495,0.014141414141414142
1875,13,shipments,865,0.015028901734104046
1876,11,shipments,933,0.011789924973204717
1877,7,shipments,893,0.007838745800671893
1878,10,shipments,945,0.010582010582010581
1879,14,shipments,846,0.016548463356973995
1880,18,shipments,1264,0.014240506329113924
1881,18,shipments,1629,0.011049723756906077
1882,10,shipments,1477,0.006770480704129994
1883,37,shipments,2947,0.012555140821174076
1884,26,shipments,2168,0.011992619926199263
1885,29,shipments,1549,0.01872175597159458
1886,46,shipments,2811,0.016364283173247954
1887,85,shipments,4399,0.01932257331211639
1888,46,shipments,4589,0.010023970363913707
1889,53,shipments,2889,0.018345448251990307
1890,59,shipments,3259,0.018103712795335992
1891,20,shipments,810,0.024691358024691357
1892,56,shipments,2028,0.027613412228796843
1893,73,shipments,2045,0.03569682151589242
1894,76,shipments,2158,0.03521779425393883
1895,107,shipments,2934,0.03646898432174506
1896,143,shipments,3517,0.04065965311344896
1897,101,shipments,2867,0.035228461806766656
1898,86,shipments,2951,0.029142663503896982
1899,90,shipments,2470,0.03643724696356275
1900,125,shipments,4199,0.02976899261728983
1901,98,shipments,3443,0.028463549230322394
1902,184,shipments,5941,0.0309712169668406
1903,76,shipments,2221,0.034218820351193155
