nation,concern,decade,n
Aboriginal,tribes,1910,2
Abyssinia,arms,1890,1
Abyssinia,burning,1890,1
Abyssinia,commercial,1900,1
Abyssinia,commercial treaty,1900,1
Abyssinia,envoy,1870,1
Abyssinia,events,1880,4
Abyssinia,imprisonment,1860,2
Abyssinia,states,1900,1
Abyssinia,telegraphic communication,1860,1
Abyssinian,boundary,1900,2
Abyssinian,envoy,1870,1
Abyssinian,frontier,1900,1
Abyssinian,missing,1870,1
Abyssinian,napier,1860,1
Abyssinian,railway,1900,1
Afghanistan,advance,1880,4
Afghanistan,advances,1880,1
Afghanistan,aid,1880,1
Afghanistan,boundary,1880,26
Afghanistan,correspondence,1870,1
Afghanistan,delimitation,1880,1
Afghanistan,despatch,1880,1
Afghanistan,disturbance,1880,1
Afghanistan,frontier,1880,15
Afghanistan,frontier,1890,1
Afghanistan,frontier,1900,4
Afghanistan,gun,1900,1
Afghanistan,map,1880,2
Afghanistan,money,1880,2
Afghanistan,officers,1880,1
Afghanistan,operation,1880,1
Afghanistan,prize,1880,1
Afghanistan,public works,1880,1
Afghanistan,railway,1880,1
Afghanistan,retirement,1880,1
Afghanistan,sale,1900,1
Afghanistan,states,1870,1
Afghanistan,troops,1880,4
Afghanistan,advance,1880,2
Afghanistan,boundary,1880,2
Afghanistan,cantonment,1900,1
Afghanistan,credit,1880,1
Afghanistan,despatch,1870,1
Afghanistan,frontier,1880,4
Afghanistan,guns,1900,2
Afghanistan,late,1900,1
Afghanistan,liberal,1880,2
Afghanistan,military occupation,1870,1
Afghanistan,military operations,1870,3
Afghanistan,military operations,1880,2
Afghanistan,munitions,1890,1
Afghanistan,poisoning,1900,2
Afghanistan,production,1880,1
Afghanistan,rumoured,1900,1
Afghanistan,telegrams,1880,3
Afghanistan,traffic,1890,3
Afghanistan,troops,1880,2
Africa,aid,1890,1
Africa,aid,1900,2
Africa,allowance,1900,4
Africa,ammunition,1890,2
Africa,animal,1900,1
Africa,animals,1900,4
Africa,annexation,1880,5
Africa,appropriation,1900,1
Africa,armed,1900,1
Africa,arms,1890,1
Africa,artillery,1900,2
Africa,association,1880,6
Africa,auxiliary,1900,2
Africa,bank,1900,1
Africa,banking,1900,1
Africa,barrack,1900,2
Africa,batta,1900,1
Africa,battalion,1900,1
Africa,big game,1900,4
Africa,bishop,1880,1
Africa,blockade,1880,3
Africa,book,1880,1
Africa,british forces,1900,1
Africa,british goods,1900,1
Africa,british indians,1900,5
Africa,british indians,1910,2
Africa,british shipping,1900,2
Africa,burning,1900,2
Africa,cable,1890,1
Africa,cable,1900,1
Africa,cable rates,1900,1
Africa,camp,1900,1
Africa,canteen,1900,1
Africa,capture,1880,1
Africa,carriage,1890,1
Africa,carriage,1910,2
Africa,cattle,1860,2
Africa,charges,1900,1
Africa,charter,1880,1
Africa,chartered company,1890,2
Africa,chartered company,1900,1
Africa,chief,1880,6
Africa,churches,1900,1
Africa,cocoa,1900,1
Africa,code,1900,1
Africa,coinage,1900,1
Africa,colonies,1840,1
Africa,colonies,1880,2
Africa,colonies,1890,1
Africa,colonists,1900,1
Africa,colony,1880,2
Africa,colony,1900,1
Africa,commandants,1900,1
Africa,commercial,1890,1
Africa,commissioner,1880,3
Africa,commissioner,1890,1
Africa,commissioner,1900,4
Africa,companies,1890,1
Africa,company,1880,18
Africa,company,1890,58
Africa,company,1900,18
Africa,company's,1890,2
Africa,company's,1900,2
Africa,composition,1900,1
Africa,compounds,1900,1
Africa,concession,1910,4
Africa,confederation,1870,1
Africa,construction,1900,2
Africa,consul,1880,1
Africa,consumption,1890,2
Africa,contagious,1890,1
Africa,contagious diseases,1890,4
Africa,contract,1890,2
Africa,contract,1900,2
Africa,contracts,1900,7
Africa,conviction,1910,2
Africa,coolies,1900,8
Africa,correspondence,1880,1
Africa,correspondence,1900,1
Africa,cost,1900,10
Africa,cotton,1900,6
Africa,council,1880,1
Africa,council,1900,2
Africa,country,1880,1
Africa,credit,1880,1
Africa,crime,1900,2
Africa,cruelty,1880,2
Africa,cruisers,1880,1
Africa,currency,1900,1
Africa,deceased,1900,1
Africa,deceased wife's sister,1900,1
Africa,delimitation,1880,1
Africa,deputy,1900,1
Africa,descent,1900,1
Africa,detention,1900,1
Africa,development,1900,1
Africa,direct,1900,1
Africa,directed,1900,1
Africa,disaster,1890,1
Africa,disaster,1900,1
Africa,disease,1900,2
Africa,diseases,1890,1
Africa,diseases,1900,1
Africa,distilleries,1900,1
Africa,dockyard,1900,3
Africa,drafts,1900,2
Africa,drink,1890,1
Africa,dynamite,1900,2
Africa,education,1900,5
Africa,electoral,1900,1
Africa,emigrants,1900,1
Africa,emigration,1840,3
Africa,emigration,1900,3
Africa,emin,1880,6
Africa,employees,1900,2
Africa,employment,1900,2
Africa,employment,1910,4
Africa,enterprise,1890,1
Africa,exchanges,1910,2
Africa,execution,1880,2
Africa,expired,1900,1
Africa,explosives,1900,1
Africa,farm,1900,6
Africa,farm burning,1900,2
Africa,farms,1900,3
Africa,fauna,1900,1
Africa,fever,1880,2
Africa,field,1900,2
Africa,fighting,1880,1
Africa,fighting,1890,1
Africa,fine,1880,2
Africa,flag,1870,1
Africa,flag,1880,1
Africa,flour,1900,2
Africa,forced labour,1900,2
Africa,forest,1910,4
Africa,free,1890,1
Africa,free,1900,2
Africa,free trade,1890,2
Africa,freights,1900,1
Africa,frontier,1890,1
Africa,furlough,1900,1
Africa,game,1900,14
Africa,game preservation,1900,1
Africa,girls,1900,1
Africa,gold,1850,2
Africa,gold,1880,12
Africa,gold,1900,2
Africa,gold mines,1900,3
Africa,goods,1900,1
Africa,gratuities,1900,3
Africa,gulf,1880,1
Africa,guns,1890,2
Africa,hay,1900,1
Africa,health,1890,2
Africa,health of the troops,1890,1
Africa,horses,1900,6
Africa,hospital,1900,6
Africa,hut,1900,1
Africa,hut tax,1900,1
Africa,ill,1900,1
Africa,immigration,1900,2
Africa,immorality,1900,1
Africa,import,1890,1
Africa,importation,1890,4
Africa,importation,1900,6
Africa,imported,1900,1
Africa,imports,1910,4
Africa,increased pay,1900,1
Africa,indentured,1910,2
Africa,influence,1890,2
Africa,inquiry,1900,1
Africa,insurance,1900,2
Africa,insurance,1910,4
Africa,island,1870,1
Africa,jam,1900,4
Africa,jurisdiction,1850,1
Africa,jurisdiction,1880,1
Africa,labour,1900,52
Africa,labour,1910,4
Africa,labour recruiting,1900,3
Africa,labour recruitment,1900,4
Africa,labourers,1900,12
Africa,labourers,1910,8
Africa,land,1900,9
Africa,land,1910,2
Africa,landing,1900,1
Africa,lands,1900,2
Africa,lands,1910,4
Africa,language,1900,1
Africa,leave,1890,1
Africa,letter,1880,3
Africa,letter,1900,3
Africa,lines,1900,1
Africa,liquor,1890,4
Africa,liquor,1900,6
Africa,liquor trade,1890,2
Africa,liquor traffic,1900,2
Africa,liquors,1880,1
Africa,magistrate,1880,2
Africa,mail,1870,1
Africa,mail,1880,1
Africa,mail,1890,2
Africa,mail,1910,2
Africa,mail steamers,1870,1
Africa,mails,1900,1
Africa,map,1890,8
Africa,maps,1900,1
Africa,marriage,1900,1
Africa,martial,1900,5
Africa,martial law,1900,3
Africa,massacres,1880,1
Africa,meat,1900,2
Africa,meat supplies,1900,2
Africa,medical,1870,1
Africa,medical,1900,1
Africa,medical officer,1870,1
Africa,men,1900,3
Africa,military occupation,1900,1
Africa,military operations,1890,3
Africa,military stores,1890,3
Africa,mines,1900,2
Africa,mining,1890,2
Africa,mining rights,1890,1
Africa,mint,1900,1
Africa,mission stations,1890,1
Africa,missionaries,1880,1
Africa,mortality,1850,2
Africa,mortality,1900,2
Africa,mounted,1900,1
Africa,murder,1880,1
Africa,newspaper,1900,2
Africa,newspapers,1900,2
Africa,officers,1860,1
Africa,officers,1890,2
Africa,officers,1900,8
Africa,officers,1910,2
Africa,oil,1880,1
Africa,orange,1900,1
Africa,orange river,1900,1
Africa,parcel,1880,1
Africa,parcel,1900,1
Africa,parcels,1880,2
Africa,parcels,1900,1
Africa,patent,1900,2
Africa,pay,1900,4
Africa,plague,1900,1
Africa,plantations,1900,1
Africa,planting,1900,1
Africa,police,1880,1
Africa,port,1900,1
Africa,postage rates,1900,1
Africa,powers,1890,1
