year,words_per_year
1803,44
1804,168
1805,46
1806,1
1807,59
1808,111
1809,196
1810,69
1811,211
1812,251
1813,105
1814,136
1815,247
1817,223
1818,160
1819,378
1820,219
1821,195
1822,189
1823,226
1824,313
1825,118
1826,223
1827,60
1828,221
1830,717
1831,932
1832,630
1833,519
1834,483
1835,627
1836,604
1837,497
1838,373
1839,517
1840,469
1841,528
1842,811
1843,624
1844,290
1845,636
1846,597
1847,794
1848,438
1849,487
1850,535
1851,283
1852,579
1853,555
1854,667
1855,764
1856,846
1857,724
1858,610
1859,377
1860,580
1861,576
1862,449
1863,589
1864,439
1865,528
1866,419
1867,717
1868,481
1869,631
1870,684
1871,792
1872,607
1873,746
1874,495
1875,865
1876,933
1877,893
1878,945
1879,846
1880,1264
1881,1629
1882,1477
1883,2947
1884,2168
1885,1549
1886,2811
1887,4399
1888,4589
1889,2889
1890,3259
1891,810
1892,2028
1893,2045
1894,2158
1895,2934
1896,3517
1897,2867
1898,2951
1899,2470
1900,4199
1901,3443
1902,5941
1903,2221
1904,3296
1905,3447
1906,5193
1907,4386
1908,5474
1909,6443
1910,5008
